chr	region_start	region_end	phenotype_id
chr12	689913	2688013	ENSG00000006831.9_11
chr19	44079476	46078418	ENSG00000007047.14_16
chr19	16933953	18932440	ENSG00000007080.10_1
chr17	8911402	10910598	ENSG00000007237.18_11
chr19	44164224	46162927	ENSG00000007255.10_2
chr17	62938848	64841483	ENSG00000007314.12_17
chr1	111523786	113523441	ENSG00000007341.18_7
chr16	34170	1055966	ENSG00000007384.15_18
chr16	27622	1188875	ENSG00000007392.16_7
chr16	333922	2332353	ENSG00000007516.13_30
chr16	350245	2337259	ENSG00000007520.3_5
chr16	27622	1565188	ENSG00000007541.16_12
chr6	34473954	36471614	ENSG00000007866.19_4
chr1	170091511	172090857	ENSG00000007933.12_9
chr6	15129232	17128018	ENSG00000007944.14_5
chr6	169535401	170610647	ENSG00000008018.8_2
chr1	758351	2650103	ENSG00000008128.22_20
chr1	758351	2694112	ENSG00000008130.15_14
chr7	5161911	7161004	ENSG00000008256.15_8
chr7	105093057	107089766	ENSG00000008282.8_7
chr7	121076075	123073947	ENSG00000008311.14_20
chr19	3344282	5343259	ENSG00000008382.15_8
chr12	15347171	17346175	ENSG00000008394.12_9
chr19	11999204	13994481	ENSG00000008441.16_13
chr8	132455000	134454028	ENSG00000008513.14_2
chr16	2065480	4065027	ENSG00000008517.16_7
chr16	1089446	3088485	ENSG00000008710.19_41
chr17	39022475	41018423	ENSG00000008838.19_9
chr2	35968641	37966811	ENSG00000008869.11_34
chr1	113716935	115716807	ENSG00000009307.15_7
chr1	10027904	12025395	ENSG00000009724.16_5
chr1	208756244	210755636	ENSG00000009790.14_10
chr14	76274993	78274424	ENSG00000009830.11_10
chr7	72593646	74592834	ENSG00000009950.15_11
chr1	170783567	172781277	ENSG00000010165.19_5
chr12	3562506	5561335	ENSG00000010219.13_19
chr17	31352228	33350044	ENSG00000010244.18_8
chr7	37178361	39178214	ENSG00000010270.13_4
chr12	5200224	7199714	ENSG00000010278.12_2
chr3	41693277	43691692	ENSG00000010282.14_12
chr12	5538378	7538087	ENSG00000010295.19_10
chr3	51437061	53432824	ENSG00000010319.6_2
chr3	51456241	53455079	ENSG00000010322.15_24
chr3	51497672	53495113	ENSG00000010327.10_56
chr9	32752020	34750305	ENSG00000010438.16_2
chr12	5787194	7786274	ENSG00000010610.9_7
chr12	5874731	7873414	ENSG00000010626.14_7
chr1	40027605	42025758	ENSG00000010803.16_3
chr1	22743156	24739957	ENSG00000011007.12_11
chr1	22791680	24787739	ENSG00000011009.10_5
chr5	149190618	151189756	ENSG00000011083.8_9
chr12	2077875	4070548	ENSG00000011105.12_6
chr19	14380508	16380048	ENSG00000011243.17_11
chr17	50177822	52176967	ENSG00000011258.15_8
chr17	50261681	52258612	ENSG00000011260.13_5
chr19	226776	1796944	ENSG00000011304.19_3
chr3	44388840	46388282	ENSG00000011376.9_20
chr19	42647899	44645964	ENSG00000011422.11_8
chr9	121941019	123939599	ENSG00000011454.16_21
chr12	90141635	92139613	ENSG00000011465.16_8
chr2	38251095	40249262	ENSG00000011566.14_16
chr19	34705109	36703246	ENSG00000011590.13_5
chr19	34907194	36904333	ENSG00000011600.11_2
chr16	20158779	22157479	ENSG00000011638.10_8
chr19	44407476	46406995	ENSG00000012061.15_9
chr19	34320198	36318733	ENSG00000012124.16_15
chr6	52268375	54265899	ENSG00000012660.13_3
chr10	44374567	46373741	ENSG00000012779.10_3
chr4	5575452	7575156	ENSG00000013288.8_13
chr3	169419020	171418018	ENSG00000013297.10_2
chr17	43320130	45318962	ENSG00000013306.15_10
chr16	28821061	30818683	ENSG00000013364.18_11
chr7	150342466	152339849	ENSG00000013374.15_11
chr6	82162597	84159391	ENSG00000013375.15_13
chr2	199855032	201852016	ENSG00000013441.15_1
chr5	140958484	142956909	ENSG00000013561.17_7
chr12	30074670	32073749	ENSG00000013573.16_30
chr4	722459	2721465	ENSG00000013810.18_6
chr6	95523456	97520091	ENSG00000014123.9_19
chr11	64266083	66259887	ENSG00000014138.8_18
chr8	142439930	144437383	ENSG00000014164.6_5
chr11	64180882	66179885	ENSG00000014216.15_10
chr2	62588777	64588385	ENSG00000014641.17_7
chr10	98712441	100710675	ENSG00000014919.12_9
chr10	47663	1133579	ENSG00000015171.19_8
chr22	16735646	18634939	ENSG00000015475.18_6
chr8	26235777	28234010	ENSG00000015592.16_4
chr3	51694557	53693129	ENSG00000016864.18_2
chr3	129851622	131850164	ENSG00000017260.19_5
chr2	217383364	219380926	ENSG00000018280.16_13
chr1	159116479	161114983	ENSG00000018625.14_23
chr2	31628133	33627793	ENSG00000018699.11_20
chr11	117616015	119605964	ENSG00000019144.18_4
chr5	149403705	151399479	ENSG00000019582.14_8
chr8	36784954	38783713	ENSG00000020181.17_19
chr14	53570747	55564892	ENSG00000020577.13_18
chr11	93415651	95415406	ENSG00000020922.12_17
chr11	72647773	74646164	ENSG00000021300.13_12
chr6	1832374	3830653	ENSG00000021355.12_2
chr14	77170482	79170094	ENSG00000021645.18_33
chr10	111424466	113423831	ENSG00000023041.11_5
chr11	179626	1494041	ENSG00000023191.16_5
chr3	51198318	53198077	ENSG00000023330.14_2
chr10	98788503	100782277	ENSG00000023839.10_26
chr6	41565166	43563194	ENSG00000024048.10_35
chr19	46713752	48712045	ENSG00000024422.11_8
chr6	88365891	90364337	ENSG00000025039.14_7
chr22	49527206	50798635	ENSG00000025708.13_4
chr20	43943663	45942044	ENSG00000025772.7_5
chr10	87992228	89990097	ENSG00000026103.21_2
chr6	165929656	167928724	ENSG00000026297.15_16
chr11	34142536	36138397	ENSG00000026508.17_16
chr1	159740303	161738404	ENSG00000026751.16_5
chr6	25402303	27402113	ENSG00000026950.16_2
chr13	22730230	24729117	ENSG00000027001.9_11
chr6	136198386	138197413	ENSG00000027697.13_2
chr5	176600642	178599572	ENSG00000027847.13_4
chr1	155806706	157805707	ENSG00000027869.11_2
chr1	11167308	13122122	ENSG00000028137.18_2
chr12	94218976	96215751	ENSG00000028203.17_9
chr5	12225	1850106	ENSG00000028310.17_22
chr6	135257977	137256207	ENSG00000029363.16_7
chr8	40653588	42652597	ENSG00000029534.19_45
chr17	4282329	6282259	ENSG00000029725.16_11
chr1	108214068	110213895	ENSG00000031698.12_1
chr19	6534237	8533417	ENSG00000032444.15_16
chr13	19568452	21566243	ENSG00000032742.17_2
chr12	121471770	123471298	ENSG00000033030.13_8
chr7	150232985	152227909	ENSG00000033100.16_4
chr17	41458889	43455779	ENSG00000033627.16_12
chr17	20284715	22284625	ENSG00000034152.18_4
chr8	99258069	101256796	ENSG00000034677.12_6
chr2	15703	1217608	ENSG00000035115.21_22
chr10	72995439	74994165	ENSG00000035403.17_23
chr15	62907329	64906392	ENSG00000035664.11_14
chr3	99261338	101260412	ENSG00000036054.12_16
chr2	223470783	225469841	ENSG00000036257.12_5
chr5	179604036	181287438	ENSG00000037280.15_29
chr5	5599314	7598219	ENSG00000037474.14_16
chr19	12765464	14764389	ENSG00000037757.13_6
chr4	12568840	14568714	ENSG00000038219.12_2
chr5	13146206	15143402	ENSG00000038382.18_60
chr16	67739211	69736814	ENSG00000039068.18_15
chr5	79410984	81404587	ENSG00000039319.16_4
chr5	40142260	42141934	ENSG00000039537.13_21
chr5	33660363	35656178	ENSG00000039560.13_4
chr5	168584551	170583376	ENSG00000040275.16_4
chr1	18312760	20310881	ENSG00000040487.12_7
chr17	6236089	8234419	ENSG00000040633.12_9
chr15	77540420	79539312	ENSG00000041357.15_12
chr9	114019967	116019409	ENSG00000041982.15_20
chr1	5625959	7624353	ENSG00000041988.15_4
chr14	88956082	90954105	ENSG00000042088.13_4
chr11	92785382	94780115	ENSG00000042429.11_8
chr2	84342328	86339958	ENSG00000042445.13_10
chr2	84395424	86393172	ENSG00000042493.15_15
chr19	45838193	47838134	ENSG00000042753.11_4
chr8	131867025	133865939	ENSG00000042832.11_51
chr5	169246402	171245680	ENSG00000043462.11_16
chr1	38839731	40836913	ENSG00000043514.15_8
chr6	42039665	44037260	ENSG00000044090.8_11
chr5	137611878	139607084	ENSG00000044115.20_12
chr5	112514203	114513653	ENSG00000047188.15_8
chr15	51581922	53580240	ENSG00000047346.12_13
chr3	148163623	150162337	ENSG00000047457.13_12
chr6	14523197	16522595	ENSG00000047579.19_6
chr3	46851317	48850688	ENSG00000047849.21_24
chr6	116560688	118559477	ENSG00000047932.13_3
chr7	17087120	19086855	ENSG00000048052.21_21
chr5	175647641	177643558	ENSG00000048140.17_5
chr5	175383952	177382617	ENSG00000048162.20_4
chr4	14469899	16468546	ENSG00000048342.15_7
chr6	41207055	43204692	ENSG00000048544.5_3
chr2	134532650	136530889	ENSG00000048991.16_19
chr1	6771586	8771224	ENSG00000049245.12_2
chr2	31947642	33946606	ENSG00000049323.15_28
chr11	31091726	33090035	ENSG00000049449.8_10
chr7	73247357	75017217	ENSG00000049540.16_21
chr5	73640104	75640000	ENSG00000049860.13_10
chr14	58485095	60483022	ENSG00000050130.17_2
chr7	143356630	145355278	ENSG00000050327.14_6
chr6	12787015	14785786	ENSG00000050393.11_5
chr12	50048629	52047766	ENSG00000050426.15_3
chr5	179236004	181232796	ENSG00000050748.17_12
chr5	177238878	179237462	ENSG00000050767.15_17
chr16	74229120	76227778	ENSG00000050820.16_14
chr19	17930420	19928811	ENSG00000051128.18_8
chr5	174919159	176916482	ENSG00000051596.9_9
chr1	113770001	115769303	ENSG00000052723.11_2
chr14	88127935	90124605	ENSG00000053254.15_14
chr1	18251581	20251504	ENSG00000053372.4_5
chr20	36527739	38508168	ENSG00000053438.8_2
chr4	24378043	26376785	ENSG00000053900.10_10
chr11	1445490	3412728	ENSG00000053918.15_17
chr1	35139806	37136367	ENSG00000054116.11_3
chr1	35229134	37221817	ENSG00000054118.13_2
chr2	158803982	160797491	ENSG00000054219.10_35
chr1	242257441	244255209	ENSG00000054282.15_22
chr1	9211088	11210114	ENSG00000054523.17_25
chr14	62853385	64852643	ENSG00000054654.16_121
chr14	66534988	68532658	ENSG00000054690.13_28
chr2	201266158	203265173	ENSG00000055044.10_15
chr5	152990888	154989876	ENSG00000055147.18_11
chr5	156266919	158264037	ENSG00000055163.19_23
chr2	19249084	21248156	ENSG00000055917.15_18
chr10	99971826	101966771	ENSG00000055950.16_3
chr3	51826801	53812897	ENSG00000055955.15_23
chr3	51778936	53777314	ENSG00000055957.10_16
chr22	43881526	45880688	ENSG00000056487.15_17
chr18	62655787	64654167	ENSG00000057149.15_7
chr12	31790771	33790084	ENSG00000057294.14_12
chr10	4766428	6764638	ENSG00000057608.16_8
chr1	22779720	24772947	ENSG00000057757.9_1
chr3	181793587	183791380	ENSG00000058063.15_30
chr1	182186843	184186139	ENSG00000058085.14_22
chr7	43218873	45217088	ENSG00000058404.19_25
chr1	15741869	17739148	ENSG00000058453.16_35
chr1	52853179	54850745	ENSG00000058799.14_2
chr16	1912045	3911769	ENSG00000059122.16_12
chr7	138777064	140775567	ENSG00000059377.16_25
chr7	139024103	141023139	ENSG00000059378.12_11
chr1	233391752	235391280	ENSG00000059588.9_25
chr4	150672048	152670297	ENSG00000059691.11_15
chr12	95278866	97277864	ENSG00000059758.7_12
chr9	110632412	112625971	ENSG00000059769.19_2
chr12	9699212	11698764	ENSG00000060138.12_14
chr12	61480	1751375	ENSG00000060237.16_30
chr10	67721376	69719678	ENSG00000060339.13_2
chr19	2136516	4135705	ENSG00000060558.3_2
chr1	25789053	27784449	ENSG00000060642.10_6
chr1	28236573	30236198	ENSG00000060656.19_16
chr3	37103683	39101405	ENSG00000060971.17_4
chr12	46782794	48781412	ENSG00000061273.17_15
chr12	26710820	28710663	ENSG00000061794.12_8
chr3	194863477	196862068	ENSG00000061938.16_27
chr5	56174045	58173943	ENSG00000062194.15_4
chr12	55272164	57270378	ENSG00000062485.18_3
chr20	45366770	47365759	ENSG00000062598.17_3
chr17	58708210	60703774	ENSG00000062716.12_13
chr19	48290433	50288229	ENSG00000063127.15_10
chr19	47619340	49618821	ENSG00000063176.15_6
chr19	47615399	49612984	ENSG00000063177.12_3
chr19	47638687	49637392	ENSG00000063180.8_8
chr19	54453429	56452645	ENSG00000063241.7_4
chr19	54675793	56673733	ENSG00000063245.14_8
chr4	40363459	42356071	ENSG00000064042.17_42
chr12	25973411	27971956	ENSG00000064115.10_13
chr20	43716823	45714310	ENSG00000064205.10_2
chr3	97733220	99731625	ENSG00000064225.12_9
chr7	127954251	129953725	ENSG00000064419.13_23
chr19	18192988	20192135	ENSG00000064490.13_11
chr20	44890896	46887007	ENSG00000064601.16_6
chr19	17991021	19990827	ENSG00000064607.16_13
chr20	45894908	47890538	ENSG00000064655.18_9
chr19	226776	2026202	ENSG00000064666.14_6
chr19	95981	2040062	ENSG00000064687.12_42
chr15	82017091	84015917	ENSG00000064726.9_3
chr20	52937082	54936648	ENSG00000064787.13_9
chr19	2573061	4572667	ENSG00000064961.18_5
chr2	186343445	188342645	ENSG00000064989.12_5
chr16	1025847	3023239	ENSG00000065054.13_8
chr10	123397435	125397249	ENSG00000065154.11_3
chr19	95981	1984068	ENSG00000065268.10_9
chr12	54927481	56926927	ENSG00000065357.19_29
chr16	74628699	76627386	ENSG00000065427.14_5
chr3	122610313	124609659	ENSG00000065534.18_22
chr1	211364221	213363145	ENSG00000065600.12_9
chr6	82553126	84552500	ENSG00000065609.14_25
chr10	103032003	105030122	ENSG00000065618.18_33
chr10	103273258	105267744	ENSG00000065621.14_5
chr10	5429496	7425643	ENSG00000065675.14_5
chr19	1997730	3990293	ENSG00000065717.14_25
chr2	237427284	239426026	ENSG00000065802.11_5
chr10	13518719	15515733	ENSG00000065809.13_12
chr4	36891108	38891028	ENSG00000065882.15_19
chr2	73199886	75198497	ENSG00000065911.11_2
chr1	41689341	43680795	ENSG00000065978.18_2
chr1	211287832	213283720	ENSG00000066027.11_9
chr1	42301352	44300943	ENSG00000066056.13_15
chr12	49085029	51082701	ENSG00000066117.14_13
chr1	39691815	41689341	ENSG00000066136.20_18
chr1	41431944	43426518	ENSG00000066185.12_3
chr11	46357892	48354052	ENSG00000066336.11_1
chr6	29059478	31058812	ENSG00000066379.14_3
chr14	91044656	93044186	ENSG00000066427.21_7
chr14	91794447	93794085	ENSG00000066455.12_12
chr6	124986940	126985615	ENSG00000066651.18_11
chr9	99427621	101425118	ENSG00000066697.14_4
chr16	19536794	21521808	ENSG00000066813.14_10
chr18	56549992	58547294	ENSG00000066926.10_9
chr10	2066385	4063101	ENSG00000067057.16_28
chr2	229416143	231414781	ENSG00000067066.16_14
chr5	54424975	56424467	ENSG00000067113.16_3
chr8	69573674	71572926	ENSG00000067167.7_10
chr12	5329118	7328554	ENSG00000067182.7_5
chr17	38251052	40160523	ENSG00000067191.15_4
chr15	72978946	74978888	ENSG00000067221.13_6
chr15	71200137	73198062	ENSG00000067225.17_15
chr16	7622489	9621603	ENSG00000067365.14_16
chr3	48360459	50356245	ENSG00000067560.10_7
chr17	42484150	44483784	ENSG00000067596.10_23
chr1	1051063	3047833	ENSG00000067606.16_21
chr12	77864022	79863518	ENSG00000067715.13_5
chr16	3798032	5796888	ENSG00000067836.12_12
chr17	41564139	43558972	ENSG00000068120.14_8
chr2	45917427	47916010	ENSG00000068724.15_18
chr3	47688175	49687375	ENSG00000068745.14_9
chr2	44388908	46387324	ENSG00000068784.12_18
chr11	63729340	65726789	ENSG00000068831.18_15
chr3	159257062	161256680	ENSG00000068885.14_26
chr19	37879860	39876804	ENSG00000068903.19_12
chr2	52787299	54786509	ENSG00000068912.13_10
chr11	63748280	65745636	ENSG00000068976.13_15
chr1	4991650	6989117	ENSG00000069424.14_18
chr12	8666047	10664881	ENSG00000069493.14_6
chr1	90680389	92679885	ENSG00000069702.10_25
chr3	140877086	142875113	ENSG00000069849.10_13
chr15	54319225	56318889	ENSG00000069943.9_12
chr22	16380986	18137146	ENSG00000069998.12_3
chr22	18933556	20448412	ENSG00000070010.18_4
chr9	107868204	109867117	ENSG00000070061.14_37
chr11	16209846	18207634	ENSG00000070081.15_14
chr14	63746519	65746268	ENSG00000070182.19_35
chr9	104244644	106244335	ENSG00000070214.15_19
chr22	18186065	20179388	ENSG00000070371.15_30
chr22	18037650	20035780	ENSG00000070413.19_2
chr3	125439969	127437577	ENSG00000070476.14_8
chr8	41342962	43338119	ENSG00000070501.11_8
chr17	67421025	69420166	ENSG00000070540.12_2
chr7	96853964	98851951	ENSG00000070669.16_1
chr17	75565636	77565328	ENSG00000070731.10_3
chr8	99688168	101685014	ENSG00000070756.15_4
chr5	149220782	151218820	ENSG00000070808.15_17
chr5	149357727	151357382	ENSG00000070814.17_19
chr1	21055712	23052134	ENSG00000070831.15_3
chr7	23796662	25793816	ENSG00000070882.12_11
chr2	104745146	106743903	ENSG00000071051.13_5
chr2	100697260	102696559	ENSG00000071054.16_23
chr2	100002977	102000283	ENSG00000071082.10_4
chr4	9074535	11074218	ENSG00000071127.16_6
chr4	146735395	148731957	ENSG00000071205.11_21
chr7	119951179	121950409	ENSG00000071243.15_5
chr14	75762986	77761810	ENSG00000071246.10_8
chr3	7502070	9499818	ENSG00000071282.11_2
chr7	72684645	74682024	ENSG00000071462.11_7
chr19	609297	2608441	ENSG00000071564.14_5
chr2	11717187	13714267	ENSG00000071575.11_3
chr19	574301	2573587	ENSG00000071655.17_8
chr8	143393254	145075236	ENSG00000071894.16_33
chr2	170524133	172521806	ENSG00000071967.11_6
chr6	169575463	170738981	ENSG00000071994.10_5
chr2	126638445	128637168	ENSG00000072163.19_10
chr2	218436000	220434162	ENSG00000072195.14_42
chr17	18648322	20647720	ENSG00000072210.18_15
chr3	195028084	197027035	ENSG00000072274.12_21
chr10	59870065	61868916	ENSG00000072422.16_3
chr11	62839596	64838705	ENSG00000072518.20_23
chr12	131822261	133261767	ENSG00000072609.17_11
chr5	131191891	133191406	ENSG00000072682.18_21
chr1	160664551	162662483	ENSG00000072694.20_6
chr3	2127123	4126916	ENSG00000072756.16_3
chr17	6217173	8216308	ENSG00000072778.19_3
chr5	171043947	173041024	ENSG00000072786.12_23
chr17	6336607	8335605	ENSG00000072818.11_21
chr3	112532928	114531949	ENSG00000072858.10_6
chr16	14643585	16638489	ENSG00000072864.14_14
chr11	9573143	11573025	ENSG00000072952.18_3
chr19	15201219	17197483	ENSG00000072958.8_15
chr12	123777382	125775260	ENSG00000073060.15_12
chr17	74525295	76524087	ENSG00000073350.13_31
chr15	83982433	85980326	ENSG00000073417.14_23
chr17	34129748	36117934	ENSG00000073536.17_12
chr5	19602	1217379	ENSG00000073578.16_2
chr17	39625596	41623888	ENSG00000073584.18_14
chr17	38904785	40904542	ENSG00000073605.18_8
chr3	185933213	187928462	ENSG00000073849.14_10
chr13	30846756	32845904	ENSG00000073910.19_63
chr11	84957879	86957404	ENSG00000073921.17_6
chr17	45593733	47590184	ENSG00000073969.18_22
chr19	14162829	16158858	ENSG00000074181.8_16
chr19	48340687	50338780	ENSG00000074219.13_16
chr11	85246861	87242255	ENSG00000074266.19_6
chr17	2924085	4923297	ENSG00000074370.17_18
chr15	62321585	64321277	ENSG00000074410.13_10
chr3	126689461	128688935	ENSG00000074416.13_12
chr12	94659359	96656529	ENSG00000074527.11_15
chr2	217658853	219656880	ENSG00000074582.12_3
chr18	58328489	60326869	ENSG00000074695.5_6
chr1	7861892	9858125	ENSG00000074800.13_6
chr19	3641674	5641051	ENSG00000074842.7_5
chr19	16323643	18322904	ENSG00000074855.10_9
chr1	16678933	18535496	ENSG00000074964.16_23
chr1	19807317	21806025	ENSG00000075151.20_27
chr22	45268377	47267936	ENSG00000075234.16_17
chr2	70277794	72276514	ENSG00000075292.18_33
chr7	86836268	88832727	ENSG00000075303.12_3
chr1	177096411	179093362	ENSG00000075391.16_23
chr14	102386813	104384669	ENSG00000075413.17_25
chr12	97598777	99593423	ENSG00000075415.12_3
chr4	47497697	49311475	ENSG00000075539.13_66
chr7	4527564	6526811	ENSG00000075624.13_6
chr3	170602166	172600018	ENSG00000075651.15_36
chr3	196043386	198042253	ENSG00000075711.20_25
chr3	127727095	129724135	ENSG00000075785.12_4
chr10	99486773	101482516	ENSG00000075826.16_15
chr2	142091630	144088523	ENSG00000075884.13_15
chr3	43975382	45975107	ENSG00000075914.12_2
chr11	113439618	115438384	ENSG00000076043.9_7
chr3	35995847	37993330	ENSG00000076242.14_21
chr16	27622	1268178	ENSG00000076344.15_6
chr1	207027204	209021903	ENSG00000076356.6_31
chr12	109003444	110988811	ENSG00000076513.16_6
chr12	108117530	110114968	ENSG00000076555.15_41
chr19	9333808	11332135	ENSG00000076662.9_2
chr10	102091148	104086794	ENSG00000076685.18_7
chr11	118309226	120308044	ENSG00000076706.16_19
chr1	20597767	22596067	ENSG00000076864.19_9
chr19	6619798	8619113	ENSG00000076924.11_4
chr19	40883720	42858466	ENSG00000076928.17_2
chr19	6637261	8636808	ENSG00000076944.15_25
chr19	6903909	8903780	ENSG00000076984.17_2
chr2	232354542	234354272	ENSG00000077044.10_34
chr3	24598078	26597654	ENSG00000077097.15_33
chr10	95518119	97516351	ENSG00000077147.14_7
chr16	26314576	28312149	ENSG00000077238.13_10
chr1	76696074	78695756	ENSG00000077254.14_4
chr2	170687661	172686624	ENSG00000077380.15_11
chr7	99583473	101573328	ENSG00000077454.15_13
chr19	3175972	5174019	ENSG00000077463.14_5
chr1	18339394	20338632	ENSG00000077549.17_14
chr1	235143051	237141512	ENSG00000077585.13_6
chr11	89131946	91131331	ENSG00000077616.10_16
chr8	37401527	39374115	ENSG00000077782.19_12
chr22	44502310	46502178	ENSG00000077942.18_19
chr10	14514226	16513803	ENSG00000077943.7_8
chr20	23949906	25944414	ENSG00000077984.5_3
chr2	208426719	210423025	ENSG00000078018.19_12
chr18	45803610	47801470	ENSG00000078043.15_22
chr4	38700816	40696082	ENSG00000078140.13_6
chr12	1877472	3877170	ENSG00000078246.16_10
chr5	6396513	8395256	ENSG00000078295.16_23
chr14	100762015	102761515	ENSG00000078304.19_3
chr7	99400848	101400177	ENSG00000078487.17_17
chr1	50789648	52788784	ENSG00000078618.21_10
chr8	41392650	43388362	ENSG00000078668.13_5
chr8	16922906	18922277	ENSG00000078674.17_26
chr17	76959311	78959066	ENSG00000078687.17_21
chr20	33704952	35703244	ENSG00000078804.12_3
chr2	177465207	179463059	ENSG00000079150.17_2
chr5	35607856	37604803	ENSG00000079215.13_15
chr2	229203436	231202161	ENSG00000079263.18_13
chr1	45558263	47556969	ENSG00000079277.19_10
chr2	216800645	218798876	ENSG00000079308.16_35
chr19	815894	2814183	ENSG00000079313.13_4
chr12	46734654	48733424	ENSG00000079337.15_23
chr10	74096084	76094145	ENSG00000079393.20_5
chr19	41402966	43399877	ENSG00000079435.9_11
chr8	10796651	12795079	ENSG00000079459.12_5
chr16	28806466	30790666	ENSG00000079616.12_15
chr1	62594640	64592587	ENSG00000079739.15_15
chr19	9718343	11717595	ENSG00000079805.16_28
chr6	129839424	131839315	ENSG00000079819.18_25
chr6	131447278	133445728	ENSG00000079950.13_8
chr19	9486478	11485834	ENSG00000079999.13_5
chr19	54182441	56180984	ENSG00000080031.9_15
chr20	45346031	47345447	ENSG00000080189.14_7
chr3	96822540	98822022	ENSG00000080200.9_14
chr2	150410601	152408824	ENSG00000080345.17_32
chr9	981433	2979726	ENSG00000080503.22_59
chr6	107986679	109986288	ENSG00000080546.13_4
chr19	8959726	10958588	ENSG00000080573.6_26
chr13	45053674	47052447	ENSG00000080618.13_7
chr3	97500169	99496246	ENSG00000080822.16_6
chr14	101224960	103224358	ENSG00000080823.22_7
chr20	35306660	37298449	ENSG00000080845.17_9
chr1	195944301	197943259	ENSG00000080910.11_3
chr2	226002905	228002414	ENSG00000081052.11_45
chr3	100575461	102572278	ENSG00000081154.11_3
chr5	87718230	89716358	ENSG00000081189.15_29
chr1	197639482	199637981	ENSG00000081237.18_7
chr1	200284266	202282781	ENSG00000081277.12_4
chr19	18789551	20785400	ENSG00000081665.13_5
chr12	124065504	126065370	ENSG00000081760.16_21
chr5	140925349	142923052	ENSG00000081791.8_12
chr7	121319008	123318144	ENSG00000081803.15_24
chr1	52917144	54916499	ENSG00000081870.11_6
chr5	36380918	38379046	ENSG00000082068.8_12
chr5	38105335	40104995	ENSG00000082074.15_19
chr18	49878828	51878285	ENSG00000082212.12_14
chr18	4393611	6391893	ENSG00000082397.17_35
chr2	163656108	165653331	ENSG00000082438.15_22
chr17	47052826	49047540	ENSG00000082641.15_16
chr2	60478097	62477349	ENSG00000082898.16_5
chr3	148813059	150812278	ENSG00000082996.19_2
chr16	22603972	24603134	ENSG00000083093.9_13
chr6	82067829	84067009	ENSG00000083097.14_32
chr9	85287986	87287143	ENSG00000083223.17_14
chr1	10935111	12849394	ENSG00000083444.16_11
chr17	2673797	4671988	ENSG00000083454.21_3
chr17	2714887	4713092	ENSG00000083457.11_29
chr13	31588766	33583674	ENSG00000083642.18_33
chr19	57386963	58600158	ENSG00000083845.8_4
chr4	185588436	187587664	ENSG00000083857.13_31
chr4	67310388	69306754	ENSG00000083896.12_7
chr1	39345533	41344324	ENSG00000084070.11_4
chr1	38693428	40690337	ENSG00000084072.16_16
chr2	95189807	97184218	ENSG00000084090.13_1
