Enseml.Gene.Id	Enseml.Prot.Id	UniProt.Id
ENSG00000070961.16	ENSP00000392043.3	P20020
ENSG00000071537.14	ENSP00000337053.4	Q9UBV2
ENSG00000071539.14	ENSP00000166345.3	Q15645
ENSG00000073169.15	ENSP00000370288.2	
ENSG00000073282.14	ENSP00000346614.5	Q9H3D4
ENSG00000073754.6	ENSP00000357156.4	O43866
ENSG00000073861.3	ENSP00000177694.1	Q9UL17
ENSG00000074590.14	ENSP00000261402.2	O60285
ENSG00000074621.14	ENSP00000261892.6	O60721
ENSG00000074657.14	ENSP00000468238.1	Q9HCE3
ENSG00000074935.14	ENSP00000357651.5	Q9UJT0
ENSG00000074966.11	ENSP00000264316.4	P42681
ENSG00000075275.18	ENSP00000501367.2	Q9NYQ6
ENSG00000075643.6	ENSP00000261326.4	Q96EN8
ENSG00000076248.11	ENSP00000242576.3	P13051
ENSG00000076258.10	ENSP00000356723.3	P31512
ENSG00000077009.14	ENSP00000168977.1	Q9NPI5
ENSG00000077063.11	ENSP00000160373.3	Q8WZ74
ENSG00000077080.10	ENSP00000160382.5	O94805
ENSG00000077092.20	ENSP00000332296.4	P10826
ENSG00000077235.18	ENSP00000348510.4	Q12789
ENSG00000077327.16	ENSP00000365811.3	O75602
ENSG00000077348.10	ENSP00000221233.3	Q9NQT4
ENSG00000078081.8	ENSP00000265598.3	Q9UQV4
ENSG00000078114.19	ENSP00000366326.4	O76041
ENSG00000078177.14	ENSP00000261435.6	Q86UW6
ENSG00000078237.7	ENSP00000179259.4	Q9NQ88
ENSG00000078328.23	ENSP00000347855.4	Q9NWB1
ENSG00000078814.18	ENSP00000262873.8	
ENSG00000109332.20	ENSP00000396901.2	P61077
ENSG00000079101.17	ENSP00000510271.1	Q15846
ENSG00000079112.10	ENSP00000027335.3	Q12864
ENSG00000079462.8	ENSP00000262890.2	Q15102
ENSG00000079557.5	ENSP00000226355.3	P43652
ENSG00000079689.14	ENSP00000367197.2	O76038
ENSG00000079691.18	ENSP00000331983.6	Q5VZK9
ENSG00000079841.19	ENSP00000428417.1	Q86UR5
ENSG00000080293.10	ENSP00000019103.6	P47872
ENSG00000080371.6	ENSP00000261263.3	Q9UL25
ENSG00000080608.10	ENSP00000380982.2	Q15397
ENSG00000080709.16	ENSP00000501239.1	Q9H2S1
ENSG00000081014.11	ENSP00000261842.5	Q9UPM8
ENSG00000081248.12	ENSP00000355192.3	Q13698
ENSG00000081923.15	ENSP00000497896.1	O43520
ENSG00000081985.14	ENSP00000501329.1	Q99665
ENSG00000082126.18	ENSP00000387278.3	Q96JB8
ENSG00000082482.14	ENSP00000394033.2	O95069
ENSG00000082497.12	ENSP00000355979.3	Q9NUC0
ENSG00000082512.15	ENSP00000261464.5	O00463
ENSG00000083067.24	ENSP00000503830.2	
ENSG00000083635.8	ENSP00000368459.4	Q9UHK0
ENSG00000084628.10	ENSP00000362841.2	Q4KMZ8
ENSG00000084731.15	ENSP00000264712.3	
ENSG00000084764.12	ENSP00000233121.2	Q9UPY8
ENSG00000085644.14	ENSP00000380087.3	O14771
ENSG00000085840.13	ENSP00000360623.3	Q13415
ENSG00000085999.13	ENSP00000361043.4	Q92698
ENSG00000086061.16	ENSP00000369127.3	P31689
ENSG00000086288.12	ENSP00000199447.4	Q8N427
ENSG00000086506.3	ENSP00000199708.2	P09105
ENSG00000086544.3	ENSP00000263370.1	Q96DU7
ENSG00000086967.10	ENSP00000350332.4	Q14324
ENSG00000087128.10	ENSP00000307519.4	Q9UL52
ENSG00000087152.16	ENSP00000465614.2	Q14CW9
ENSG00000087237.12	ENSP00000200676.3	P11597
ENSG00000087338.5	ENSP00000282570.3	Q96IK5
ENSG00000088002.12	ENSP00000201586.2	O00204
ENSG00000088386.17	ENSP00000365686.4	P46059
ENSG00000088726.16	ENSP00000322837.7	Q8WWA1
ENSG00000088882.8	ENSP00000369979.2	Q96SM3
ENSG00000088926.14	ENSP00000384957.2	P03951
ENSG00000089199.10	ENSP00000368244.4	P05060
ENSG00000089225.20	ENSP00000384152.3	Q99593
ENSG00000089558.9	ENSP00000264661.2	Q9UQ05
ENSG00000089847.13	ENSP00000321731.4	Q8TF21
ENSG00000089902.10	ENSP00000262241.5	Q9UKL0
ENSG00000090104.12	ENSP00000356429.3	Q08116
ENSG00000090512.12	ENSP00000265029.3	Q9UGM5
ENSG00000091106.19	ENSP00000385428.1	Q9NPP4
ENSG00000091127.14	ENSP00000417402.1	Q96PZ0
ENSG00000091138.13	ENSP00000345873.5	P40879
ENSG00000091651.9	ENSP00000219097.2	Q9Y5N6
ENSG00000091732.17	ENSP00000351052.4	Q86WB0
ENSG00000092010.15	ENSP00000206451.6	Q06323
ENSG00000092295.12	ENSP00000206765.6	P22735
ENSG00000092847.13	ENSP00000362300.4	Q9UL18
ENSG00000093009.11	ENSP00000263201.2	O75419
ENSG00000112299.8	ENSP00000356905.4	O95497
ENSG00000093217.11	ENSP00000207870.3	O75191
ENSG00000094755.17	ENSP00000265294.4	O00591
ENSG00000094796.5	ENSP00000251645.2	Q15323
ENSG00000094804.12	ENSP00000209728.4	Q99741
ENSG00000094880.11	ENSP00000378350.2	Q9UJX2
ENSG00000095015.6	ENSP00000382423.3	Q13233
ENSG00000095752.7	ENSP00000264563.1	P20809
ENSG00000095970.17	ENSP00000362205.3	Q9NZC2
ENSG00000096060.15	ENSP00000349811.3	Q13451
ENSG00000096080.12	ENSP00000361206.3	Q9NVS2
ENSG00000096401.8	ENSP00000360532.3	Q99459
ENSG00000097046.13	ENSP00000234626.6	O00311
ENSG00000099219.15	ENSP00000340427.5	Q7Z2K6
ENSG00000099284.15	ENSP00000362352.3	Q9P0M6
ENSG00000099337.5	ENSP00000263372.2	Q9Y257
ENSG00000099338.23	ENSP00000386962.3	Q6ZRH7
ENSG00000099624.8	ENSP00000215375.1	P30049
ENSG00000099800.8	ENSP00000215570.2	Q9Y5L4
ENSG00000099866.16	ENSP00000215637.2	Q13477
ENSG00000099904.16	ENSP00000334490.7	Q9ULC8
ENSG00000099953.10	ENSP00000215743.3	P24347
ENSG00000099954.19	ENSP00000262608.11	Q9BXF3
ENSG00000099985.4	ENSP00000215781.2	P13725
ENSG00000100036.13	ENSP00000339626.4	Q6ICL7
ENSG00000100056.12	ENSP00000252137.6	Q96DF8
ENSG00000100065.15	ENSP00000251973.5	Q9BWT7
ENSG00000162337.12	ENSP00000294304.6	O75197
ENSG00000100078.4	ENSP00000215885.3	Q9NZ20
ENSG00000100079.7	ENSP00000215886.4	P05162
ENSG00000100147.14	ENSP00000255784.5	Q9H6E4
ENSG00000100170.10	ENSP00000266088.4	P13866
ENSG00000100196.11	ENSP00000216014.4	O43731
ENSG00000100206.11	ENSP00000216024.2	Q14565
ENSG00000100218.12	ENSP00000216036.4	Q9UHP6
ENSG00000100221.11	ENSP00000506752.1	Q15040
ENSG00000100253.13	ENSP00000216075.6	Q9UGB7
ENSG00000100292.18	ENSP00000216117.8	P09601
ENSG00000100312.11	ENSP00000216139.5	P10323
ENSG00000100347.15	ENSP00000345445.4	Q9Y512
ENSG00000100351.17	ENSP00000339186.4	O75791
ENSG00000100362.13	ENSP00000400247.2	P20472
ENSG00000100373.10	ENSP00000216211.4	O75631
ENSG00000100473.18	ENSP00000379862.3	O43405
ENSG00000100526.21	ENSP00000335357.6	Q16667
ENSG00000100558.9	ENSP00000216446.4	Q9NYT0
ENSG00000100580.8	ENSP00000216468.7	Q6PL24
ENSG00000100632.11	ENSP00000451080.1	P84090
ENSG00000100652.5	ENSP00000216540.4	Q14973
ENSG00000100665.12	ENSP00000450838.1	P29622
ENSG00000100678.19	ENSP00000349392.3	P57103
ENSG00000186103.5	ENSP00000335578.3	A6NJG6
ENSG00000100802.15	ENSP00000299088.6	Q9H972
ENSG00000100811.14	ENSP00000262238.4	P25490
ENSG00000100867.15	ENSP00000250383.7	Q13268
ENSG00000100884.10	ENSP00000510387.1	O95741
ENSG00000101049.18	ENSP00000362192.1	Q9HBY8
ENSG00000101082.14	ENSP00000262866.4	Q9H6Q3
ENSG00000101096.20	ENSP00000360619.3	Q13469
ENSG00000101144.13	ENSP00000379204.3	P18075
ENSG00000101146.13	ENSP00000379182.2	P78406
ENSG00000101166.16	ENSP00000348206.4	Q9Y3B1
ENSG00000101280.8	ENSP00000371347.3	Q9Y264
ENSG00000101282.9	ENSP00000217260.4	Q2I0M5
ENSG00000101311.16	ENSP00000217289.4	Q9BQL6
ENSG00000101342.10	ENSP00000217320.3	A0PJX2
ENSG00000101400.6	ENSP00000217381.2	Q13424
ENSG00000101425.14	ENSP00000494528.2	P17213
ENSG00000161082.13	ENSP00000292672.1	Q8N6W0
ENSG00000101624.11	ENSP00000262127.2	Q8TAP6
ENSG00000102580.15	ENSP00000473631.1	Q13217
ENSG00000102683.8	ENSP00000218867.3	Q13326
ENSG00000173610.13	ENSP00000286604.4	
ENSG00000102760.13	ENSP00000368664.3	Q9H4X1
ENSG00000102802.10	ENSP00000369849.4	Q5VYS4
ENSG00000102870.6	ENSP00000262525.4	Q9UEG4
ENSG00000102974.16	ENSP00000264010.4	P49711
ENSG00000103021.10	ENSP00000219299.4	Q9H0I3
ENSG00000103043.15	ENSP00000261776.5	Q08AM6
ENSG00000103047.8	ENSP00000261778.1	Q9C0B7
ENSG00000103111.15	ENSP00000248248.3	Q7L1V2
ENSG00000103175.11	ENSP00000219454.5	Q9HC57
ENSG00000103266.11	ENSP00000219548.4	Q9UNE7
ENSG00000103269.14	ENSP00000344206.3	O75783
ENSG00000103310.11	ENSP00000458991.2	Q05996
ENSG00000103375.11	ENSP00000219660.5	O94778
ENSG00000103404.15	ENSP00000219689.7	Q70CQ4
ENSG00000103449.13	ENSP00000251020.4	Q9NSC2
ENSG00000103489.12	ENSP00000261381.6	Q86Y38
ENSG00000103534.17	ENSP00000446274.2	Q6UXY8
ENSG00000104059.5	ENSP00000261275.4	O60320
ENSG00000104140.7	ENSP00000220507.4	Q96L33
ENSG00000230453.10	ENSP00000510683.1	A2A2Z9
ENSG00000104213.13	ENSP00000251630.4	Q15198
ENSG00000104313.20	ENSP00000342626.3	Q99502
ENSG00000104375.17	ENSP00000390500.2	Q13188
ENSG00000104432.14	ENSP00000263851.4	P13232
ENSG00000104442.10	ENSP00000276569.3	Q9NVT9
ENSG00000104611.12	ENSP00000265807.3	Q9H788
ENSG00000104687.14	ENSP00000221130.5	P00390
ENSG00000104808.8	ENSP00000221403.2	Q9UQ10
ENSG00000104825.17	ENSP00000312988.5	Q15653
ENSG00000104833.12	ENSP00000264071.1	P04350
ENSG00000104918.8	ENSP00000221515.1	Q9HD89
ENSG00000104953.20	ENSP00000246112.3	Q9H808
ENSG00000105011.9	ENSP00000263382.3	Q9NVP2
ENSG00000105131.8	ENSP00000221730.2	Q9H6B9
ENSG00000105141.6	ENSP00000393417.2	P31944
ENSG00000105176.18	ENSP00000376097.2	O94763
ENSG00000105205.7	ENSP00000221804.3	Q05315
ENSG00000105219.10	ENSP00000396755.2	Q9H8S5
ENSG00000105248.16	ENSP00000262962.6	Q9BW85
ENSG00000105251.11	ENSP00000446058.1	Q96IW2
ENSG00000105270.15	ENSP00000353732.3	Q96DZ5
ENSG00000105369.10	ENSP00000221972.3	P11912
ENSG00000105374.10	ENSP00000221978.4	Q16617
ENSG00000105402.8	ENSP00000263354.2	P54920
ENSG00000105419.18	ENSP00000454073.1	Q99687
ENSG00000105467.9	ENSP00000344041.1	O95473
ENSG00000105479.16	ENSP00000501363.1	Q96M63
ENSG00000105519.18	ENSP00000465883.2	
ENSG00000105523.4	ENSP00000263266.2	Q2M2I3
ENSG00000105550.10	ENSP00000471477.1	Q9NSA1
ENSG00000105613.10	ENSP00000251472.3	Q9Y2H9
ENSG00000143603.19	ENSP00000271915.3	Q9UGI6
ENSG00000105675.9	ENSP00000262623.2	P20648
ENSG00000105707.15	ENSP00000500664.1	P05981
ENSG00000167081.18	ENSP00000362588.5	P40426
ENSG00000105784.16	ENSP00000378149.3	Q96NL0
ENSG00000105825.14	ENSP00000222543.5	P48307
ENSG00000105926.16	ENSP00000222644.4	Q9NZW5
ENSG00000105929.16	ENSP00000308122.2	Q9HBG4
ENSG00000105939.14	ENSP00000242351.5	Q7Z2W4
ENSG00000106018.14	ENSP00000262178.2	P41587
ENSG00000106128.19	ENSP00000320180.2	Q02643
ENSG00000106178.7	ENSP00000222902.2	O00175
ENSG00000106302.10	ENSP00000223026.4	Q2M3T9
ENSG00000106327.13	ENSP00000223051.3	Q9UP52
ENSG00000106341.11	ENSP00000340125.3	O96001
ENSG00000106384.12	ENSP00000223114.4	Q86VF5
ENSG00000106546.14	ENSP00000242057.4	P35869
ENSG00000106689.11	ENSP00000362717.4	P50458
ENSG00000106692.15	ENSP00000350687.6	O75072
ENSG00000106701.13	ENSP00000417492.1	Q9BXM9
ENSG00000106771.13	ENSP00000363714.3	Q9H330
ENSG00000106780.9	ENSP00000363040.3	Q9H1U4
ENSG00000182492.16	ENSP00000327336.4	P21810
ENSG00000106927.12	ENSP00000265132.3	P02760
ENSG00000107159.14	ENSP00000367608.4	Q16790
ENSG00000107165.13	ENSP00000373570.4	P17643
ENSG00000107185.10	ENSP00000367318.4	Q92546
ENSG00000107187.17	ENSP00000360813.4	Q9UBR4
ENSG00000107223.13	ENSP00000224073.1	O60869
ENSG00000107443.16	ENSP00000435373.2	Q5T5M9
ENSG00000107485.18	ENSP00000368632.3	P23771
ENSG00000107518.18	ENSP00000347152.3	Q5VV63
ENSG00000107593.17	ENSP00000325296.3	Q9P0L9
ENSG00000107719.9	ENSP00000263563.5	Q9ULE6
ENSG00000107758.16	ENSP00000353881.5	P16298
ENSG00000107789.16	ENSP00000361064.4	Q9UNW1
ENSG00000107890.17	ENSP00000365255.4	Q9UPS8
ENSG00000107937.19	ENSP00000354040.4	Q9BZE4
ENSG00000107959.17	ENSP00000224949.4	Q5JRX3
ENSG00000108055.11	ENSP00000354720.5	Q9UQE7
ENSG00000108091.11	ENSP00000263102.6	Q16204
ENSG00000108179.14	ENSP00000225174.3	P30405
ENSG00000108239.9	ENSP00000225235.4	O60347
ENSG00000108244.17	ENSP00000209718.3	Q9C075
ENSG00000108342.13	ENSP00000377705.4	P09919
ENSG00000108479.13	ENSP00000465930.1	P51570
ENSG00000108576.10	ENSP00000498537.1	P31645
ENSG00000108582.12	ENSP00000225719.4	O75976
ENSG00000108604.17	ENSP00000392617.2	Q92925
ENSG00000108733.11	ENSP00000225873.3	O00623
ENSG00000108798.9	ENSP00000225941.1	Q9P2A4
ENSG00000108819.11	ENSP00000478767.1	Q96SB3
ENSG00000108839.12	ENSP00000251535.6	P18054
ENSG00000109061.10	ENSP00000226207.5	P12882
ENSG00000109063.15	ENSP00000464317.1	P11055
ENSG00000109066.14	ENSP00000334849.5	Q8NE00
ENSG00000109084.14	ENSP00000226230.6	Q5BJF2
ENSG00000109101.8	ENSP00000464645.1	O15353
ENSG00000109133.13	ENSP00000422473.1	P57088
ENSG00000109163.7	ENSP00000226413.5	P30968
ENSG00000109205.17	ENSP00000507531.1	A1E959
ENSG00000109321.11	ENSP00000379097.3	P15514
ENSG00000172046.20	ENSP00000395260.1	O94966
ENSG00000109667.12	ENSP00000264784.3	Q9NRM0
ENSG00000109674.4	ENSP00000264596.3	Q8TAT5
ENSG00000109771.16	ENSP00000426203.1	Q9P2M1
ENSG00000110002.16	ENSP00000407726.2	O00534
ENSG00000110013.13	ENSP00000263593.3	Q9HAT2
ENSG00000110042.8	ENSP00000227451.3	Q9Y2E6
ENSG00000110048.12	ENSP00000263847.1	P22059
ENSG00000110057.8	ENSP00000227471.3	Q9H1C4
ENSG00000110063.10	ENSP00000263579.4	Q96C86
ENSG00000110218.9	ENSP00000227638.3	Q96RD7
ENSG00000110243.12	ENSP00000227665.4	Q6Q788
ENSG00000110330.10	ENSP00000227758.2	Q13490
ENSG00000110375.3	ENSP00000264031.2	O00526
ENSG00000110395.7	ENSP00000264033.3	P22681
ENSG00000110427.17	ENSP00000499430.1	Q6ZVL6
ENSG00000110665.12	ENSP00000370545.4	Q9P2W6
ENSG00000110723.12	ENSP00000265843.4	
ENSG00000110851.12	ENSP00000228437.5	Q9UKN5
ENSG00000110944.9	ENSP00000228534.4	Q9NPF7
ENSG00000111087.10	ENSP00000228682.2	P08151
ENSG00000111142.14	ENSP00000325312.5	P50579
ENSG00000111181.13	ENSP00000508194.1	P48065
ENSG00000111199.12	ENSP00000261740.2	Q9HBA0
ENSG00000111224.14	ENSP00000228820.4	Q9NR21
ENSG00000111249.14	ENSP00000261726.6	O14529
ENSG00000111335.14	ENSP00000376362.3	P29728
ENSG00000160352.16	ENSP00000478345.1	
ENSG00000111581.10	ENSP00000229179.4	P57740
ENSG00000111665.12	ENSP00000442068.1	Q99618
ENSG00000111667.14	ENSP00000229268.8	P45974
ENSG00000111696.12	ENSP00000376615.3	Q86UY8
ENSG00000111713.3	ENSP00000261195.2	P54840
ENSG00000111783.13	ENSP00000376585.1	Q33E94
ENSG00000111802.14	ENSP00000367440.4	O95551
ENSG00000179240.13	ENSP00000489195.1	Q3ZCU0
ENSG00000111860.14	ENSP00000357477.3	Q5SZL2
ENSG00000111879.20	ENSP00000342604.7	Q8NB25
ENSG00000111880.16	ENSP00000358497.4	O60942
ENSG00000112029.10	ENSP00000229758.3	Q9UKT4
ENSG00000112053.14	ENSP00000417638.1	Q96RN1
ENSG00000112149.10	ENSP00000368450.3	Q01151
ENSG00000112212.12	ENSP00000362255.1	Q5TGU0
ENSG00000112276.14	ENSP00000313172.5	Q8NE79
ENSG00000112293.15	ENSP00000230036.1	P80108
ENSG00000112297.18	ENSP00000488010.2	
ENSG00000112365.5	ENSP00000230122.4	O43167
ENSG00000112379.9	ENSP00000251691.4	Q5TH69
ENSG00000112773.16	ENSP00000318298.6	Q96IP4
ENSG00000112799.9	ENSP00000230568.3	O95711
ENSG00000112812.16	ENSP00000230582.3	Q9NQE7
ENSG00000112877.8	ENSP00000264935.5	Q9P209
ENSG00000112902.12	ENSP00000371936.5	Q13591
ENSG00000113070.8	ENSP00000230990.6	Q99075
ENSG00000113194.13	ENSP00000261942.6	Q96CS3
ENSG00000113212.7	ENSP00000231137.3	Q9Y5E2
ENSG00000113300.13	ENSP00000261951.4	Q9ULM6
ENSG00000113312.12	ENSP00000231238.4	Q99614
ENSG00000113318.11	ENSP00000265081.6	P20585
ENSG00000113396.13	ENSP00000262462.4	Q9Y2P4
ENSG00000113441.16	ENSP00000231368.5	Q9UIQ6
ENSG00000113492.14	ENSP00000231420.6	Q9BYV1
ENSG00000113600.12	ENSP00000263408.4	P02748
ENSG00000113889.14	ENSP00000493985.1	P01042
ENSG00000114248.10	ENSP00000325978.5	Q6UY01
ENSG00000114268.12	ENSP00000232375.3	Q16877
ENSG00000161958.11	ENSP00000293829.4	Q92914
ENSG00000114302.16	ENSP00000265563.8	P13861
ENSG00000114388.14	ENSP00000232501.3	Q8WTW4
ENSG00000114455.14	ENSP00000419207.1	Q9UM44
ENSG00000114646.10	ENSP00000264723.4	O95196
ENSG00000114656.13	ENSP00000496592.2	Q9ULG3
ENSG00000114767.7	ENSP00000232888.6	O43818
ENSG00000114784.4	ENSP00000232905.3	O60739
ENSG00000114812.13	ENSP00000327246.4	P32241
ENSG00000114850.7	ENSP00000265044.2	Q9UNL2
ENSG00000114923.17	ENSP00000350756.3	P48751
ENSG00000114978.18	ENSP00000379364.3	Q9H8S9
ENSG00000114988.12	ENSP00000264963.4	Q9H0V9
ENSG00000115009.13	ENSP00000351671.4	P78556
ENSG00000115020.17	ENSP00000264380.4	Q9Y2I7
ENSG00000133627.18	ENSP00000256001.8	Q9P1U1
ENSG00000115112.8	ENSP00000263707.5	Q9NZI6
ENSG00000115155.19	ENSP00000272371.2	Q9HC10
ENSG00000115165.10	ENSP00000264192.3	O60759
ENSG00000115194.11	ENSP00000233535.4	Q99726
ENSG00000115339.14	ENSP00000376465.3	Q14435
ENSG00000115423.19	ENSP00000374045.3	Q9C0G6
ENSG00000115568.16	ENSP00000398798.3	P52746
ENSG00000115596.4	ENSP00000233948.3	Q9Y6F9
ENSG00000115598.10	ENSP00000264257.2	Q9HB29
ENSG00000115718.18	ENSP00000234071.4	P04070
ENSG00000115738.10	ENSP00000379585.1	Q02363
ENSG00000115808.12	ENSP00000263918.4	O43815
ENSG00000115896.16	ENSP00000402861.1	Q15111
ENSG00000115956.10	ENSP00000234313.7	P08567
ENSG00000116039.13	ENSP00000234396.4	P15313
