ID	#Chr	start	end	GTEx_ID	gene	exon_number	n_exons	terminal_exon_flag	n_significant_tissues
chr1_19254782_19254840_+	chr1	19254782	19254840	ENSG00000053372.4_2	ENSG00000053372	2	8	FALSE	14
chr1_19307314_19307410_-	chr1	19307314	19307410	ENSG00000053371.12_4	ENSG00000053371	4	7	FALSE	15
chr1_19317600_19317841_+	chr1	19317600	19317841	ENSG00000040487.12_2	ENSG00000040487	2	9	FALSE	10
chr1_19356635_19356751_-	chr1	19356635	19356751	ENSG00000077549.17_11	ENSG00000077549	11	15	FALSE	10
chr1_19622100_19622147_+	chr1	19622100	19622147	ENSG00000173436.13_6	ENSG00000173436	6	9	FALSE	17
chr1_19655324_19655436_+	chr1	19655324	19655436	ENSG00000158747.13_10	ENSG00000158747	10	11	FALSE	12
chr1_20604928_20605039_+	chr1	20604928	20605039	ENSG00000158825.5_2	ENSG00000158825	2	4	FALSE	10
chr1_20653627_20653774_-	chr1	20653627	20653774	ENSG00000244038.9_8	ENSG00000244038	8	11	FALSE	11
chr1_20767584_20767664_-	chr1	20767584	20767664	ENSG00000127483.17_8	ENSG00000127483	8	14	FALSE	15
chr1_20810738_20810884_-	chr1	20810738	20810884	ENSG00000075151.20_46	ENSG00000075151	46	47	FALSE	17
chr1_21695066_21695221_-	chr1	21695066	21695221	ENSG00000090686.15_26	ENSG00000090686	26	30	FALSE	17
chr1_21836802_21837006_-	chr1	21836802	21837006	ENSG00000142798.17_76	ENSG00000142798	76	93	FALSE	12
chr1_22644011_22644204_+	chr1	22644011	22644204	ENSG00000159189.11_2	ENSG00000159189	2	3	FALSE	14
chr1_23323556_23323732_-	chr1	23323556	23323732	ENSG00000125944.18_7	ENSG00000125944	7	14	FALSE	16
chr1_23408664_23408726_-	chr1	23408664	23408726	ENSG00000204219.9_5	ENSG00000204219	5	13	FALSE	13
chr1_23694660_23695395_+	chr1	23694660	23695395	ENSG00000142676.12_5	ENSG00000142676	5	7	FALSE	17
chr1_23752407_23752518_+	chr1	23752407	23752518	ENSG00000011007.12_6	ENSG00000011007	6	13	FALSE	11
chr1_23786315_23786423_+	chr1	23786315	23786423	ENSG00000057757.9_5	ENSG00000057757	5	6	FALSE	13
chr1_23793008_23793039_+	chr1	23793008	23793039	ENSG00000011009.10_4	ENSG00000011009	4	9	FALSE	15
chr1_23810736_23810799_-	chr1	23810736	23810799	ENSG00000117305.14_8	ENSG00000117305	8	13	FALSE	12
chr1_23960929_23961134_+	chr1	23960929	23961134	ENSG00000189266.11_3	ENSG00000189266	3	4	FALSE	11
chr1_25228998_25229123_-	chr1	25228998	25229123	ENSG00000117614.9_3	ENSG00000117614	3	7	FALSE	17
chr1_25342592_25343073_+	chr1	25342592	25343073	ENSG00000183726.10_4	ENSG00000183726	4	8	FALSE	17
chr1_25554860_25554972_+	chr1	25554860	25554972	ENSG00000157978.11_4	ENSG00000157978	4	9	FALSE	13
chr1_26296919_26296995_-	chr1	26296919	26296995	ENSG00000158062.20_11	ENSG00000158062	11	19	FALSE	11
chr1_26473206_26474135_+	chr1	26473206	26474135	ENSG00000198830.10_2	ENSG00000198830	2	3	FALSE	17
chr1_26942660_26942776_+	chr1	26942660	26942776	ENSG00000090273.13_8	ENSG00000090273	8	11	FALSE	17
chr1_27355669_27355745_-	chr1	27355669	27355745	ENSG00000142733.14_28	ENSG00000142733	28	29	FALSE	16
chr1_27809923_27810289_+	chr1	27809923	27810289	ENSG00000117758.13_5	ENSG00000117758	5	10	FALSE	11
chr1_28209972_28210066_-	chr1	28209972	28210066	ENSG00000126698.10_6	ENSG00000126698	6	12	FALSE	17
chr1_28508128_28508160_+	chr1	28508128	28508160	ENSG00000180198.15_2	ENSG00000180198	2	19	FALSE	15
chr1_28571176_28571338_+	chr1	28571176	28571338	ENSG00000180098.9_5	ENSG00000180098	5	8	FALSE	15
chr1_28581094_28581229_-	chr1	28581094	28581229	ENSG00000197989.13_3	ENSG00000197989	3	7	FALSE	13
chr1_28742403_28743986_+	chr1	28742403	28743986	ENSG00000198492.15_6	ENSG00000198492	6	7	FALSE	11
chr1_29150103_29150192_-	chr1	29150103	29150192	ENSG00000116350.16_9	ENSG00000116350	9	10	FALSE	16
chr1_31005853_31006031_-	chr1	31005853	31006031	ENSG00000134644.15_7	ENSG00000134644	7	25	FALSE	14
chr1_31310044_31310164_+	chr1	31310044	31310164	ENSG00000121766.15_2	ENSG00000121766	2	9	FALSE	14
chr1_31579204_31579267_+	chr1	31579204	31579267	ENSG00000142910.15_4	ENSG00000142910	4	9	FALSE	13
chr1_31635222_31635522_-	chr1	31635222	31635522	ENSG00000162517.12_3	ENSG00000162517	3	7	FALSE	15
chr1_31670602_31670646_-	chr1	31670602	31670646	ENSG00000084636.17_52	ENSG00000084636	52	74	FALSE	13
chr1_32031524_32031640_+	chr1	32031524	32031640	ENSG00000121774.17_3	ENSG00000121774	3	11	FALSE	17
chr1_32077164_32077318_+	chr1	32077164	32077318	ENSG00000121775.17_10	ENSG00000121775	10	15	FALSE	12
chr1_32184525_32184616_+	chr1	32184525	32184616	ENSG00000084652.15_4	ENSG00000084652	4	11	FALSE	13
chr1_32204186_32204379_+	chr1	32204186	32204379	ENSG00000160050.14_5	ENSG00000160050	5	7	FALSE	13
chr1_32229135_32229208_+	chr1	32229135	32229208	ENSG00000084623.11_9	ENSG00000084623	9	11	FALSE	17
chr1_32234704_32234814_-	chr1	32234704	32234814	ENSG00000220785.7_5	ENSG00000220785	5	9	FALSE	10
chr1_32627508_32627544_-	chr1	32627508	32627544	ENSG00000176261.15_9	ENSG00000176261	9	10	FALSE	14
chr1_32810591_32810766_-	chr1	32810591	32810766	ENSG00000134684.10_5	ENSG00000134684	5	15	FALSE	15
chr1_32938397_32938528_-	chr1	32938397	32938528	ENSG00000116514.16_8	ENSG00000116514	8	9	FALSE	16
chr1_33024442_33024567_-	chr1	33024442	33024567	ENSG00000004455.16_4	ENSG00000004455	4	12	FALSE	12
chr1_33280124_33280457_+	chr1	33280124	33280457	ENSG00000160094.14_6	ENSG00000160094	6	10	FALSE	11
chr1_35448173_35448332_-	chr1	35448173	35448332	ENSG00000142687.17_21	ENSG00000142687	21	28	FALSE	17
chr1_35636310_35636432_-	chr1	35636310	35636432	ENSG00000126067.11_2	ENSG00000126067	2	7	FALSE	15
chr1_36091244_36091340_+	chr1	36091244	36091340	ENSG00000116863.10_2	ENSG00000116863	2	6	FALSE	13
chr1_36140069_36140998_-	chr1	36140069	36140998	ENSG00000054116.11_3	ENSG00000054116	3	6	FALSE	17
chr1_36176199_36176581_+	chr1	36176199	36176581	ENSG00000116871.15_9	ENSG00000116871	9	20	FALSE	10
chr1_36259382_36259484_+	chr1	36259382	36259484	ENSG00000054118.13_4	ENSG00000054118	4	15	FALSE	16
chr1_36361221_36361340_-	chr1	36361221	36361340	ENSG00000196182.10_6	ENSG00000196182	6	14	FALSE	12
chr1_36462088_36462163_-	chr1	36462088	36462163	ENSG00000116898.11_3	ENSG00000116898	3	8	FALSE	17
chr1_37495874_37495918_-	chr1	37495874	37495918	ENSG00000163875.15_8	ENSG00000163875	8	9	FALSE	17
chr1_37987573_37987678_-	chr1	37987573	37987678	ENSG00000183431.11_4	ENSG00000183431	4	16	FALSE	16
chr1_37997963_37998132_-	chr1	37997963	37998132	ENSG00000183386.9_4	ENSG00000183386	4	6	FALSE	13
chr1_39000972_39001106_+	chr1	39000972	39001106	ENSG00000174574.15_3	ENSG00000174574	3	5	FALSE	15
chr1_39564686_39564773_-	chr1	39564686	39564773	ENSG00000090621.13_11	ENSG00000090621	11	18	FALSE	16
chr1_39745375_39748767_+	chr1	39745375	39748767	ENSG00000084072.16_10	ENSG00000084072	10	18	FALSE	12
chr1_39853970_39854068_-	chr1	39853970	39854068	ENSG00000043514.15_4	ENSG00000043514	4	12	FALSE	10
chr1_40408653_40408738_+	chr1	40408653	40408738	ENSG00000084070.11_8	ENSG00000084070	8	15	FALSE	14
chr1_40766596_40766703_+	chr1	40766596	40766703	ENSG00000066136.20_20	ENSG00000066136	20	23	FALSE	15
chr1_41075219_41075451_-	chr1	41075219	41075451	ENSG00000010803.16_12	ENSG00000010803	12	21	FALSE	15
chr1_42664863_42664955_+	chr1	42664863	42664955	ENSG00000171960.10_4	ENSG00000171960	4	9	FALSE	15
chr1_42696642_42696944_+	chr1	42696642	42696944	ENSG00000065978.18_5	ENSG00000065978	5	8	FALSE	17
chr1_44776675_44777789_+	chr1	44776675	44777789	ENSG00000142937.11_4	ENSG00000142937	4	6	FALSE	17
chr1_44857704_44857807_-	chr1	44857704	44857807	ENSG00000070785.16_17	ENSG00000070785	17	18	FALSE	16
chr1_45332918_45332959_-	chr1	45332918	45332959	ENSG00000132781.17_6	ENSG00000132781	6	17	FALSE	11
chr1_45566869_45568177_+	chr1	45566869	45568177	ENSG00000117448.13_5	ENSG00000117448	5	8	FALSE	17
chr1_45617463_45617591_+	chr1	45617463	45617591	ENSG00000132780.16_19	ENSG00000132780	19	20	FALSE	17
chr1_45642427_45642499_-	chr1	45642427	45642499	ENSG00000159592.10_8	ENSG00000159592	8	15	FALSE	15
chr1_46194553_46194651_-	chr1	46194553	46194651	ENSG00000085998.13_8	ENSG00000085998	8	18	FALSE	13
chr1_46310155_46310316_+	chr1	46310155	46310316	ENSG00000173660.11_4	ENSG00000173660	4	5	FALSE	17
chr1_46409101_46409198_+	chr1	46409101	46409198	ENSG00000117480.15_9	ENSG00000117480	9	15	FALSE	13
chr1_46580434_46580627_-	chr1	46580434	46580627	ENSG00000079277.19_10	ENSG00000079277	10	21	FALSE	16
chr1_46811140_46811184_+	chr1	46811140	46811184	ENSG00000142973.13_10	ENSG00000142973	10	21	FALSE	10
chr1_47374909_47374985_+	chr1	47374909	47374985	ENSG00000162368.13_5	ENSG00000162368	5	7	FALSE	17
chr1_51448046_51448135_-	chr1	51448046	51448135	ENSG00000085832.16_11	ENSG00000085832	11	27	FALSE	10
chr1_51776833_51776918_+	chr1	51776833	51776918	ENSG00000117859.18_26	ENSG00000117859	26	36	FALSE	15
chr1_52357001_52357174_-	chr1	52357001	52357174	ENSG00000154222.14_16	ENSG00000154222	16	26	FALSE	12
chr1_52481423_52481635_-	chr1	52481423	52481635	ENSG00000134744.13_15	ENSG00000134744	15	37	FALSE	14
chr1_52904646_52904833_-	chr1	52904646	52904833	ENSG00000121310.16_13	ENSG00000121310	13	16	FALSE	15
chr1_53038917_53039046_+	chr1	53038917	53039046	ENSG00000116171.17_16	ENSG00000116171	16	17	FALSE	17
chr1_53075862_53075971_+	chr1	53075862	53075971	ENSG00000174348.13_10	ENSG00000174348	10	16	FALSE	11
chr1_53218867_53218923_-	chr1	53218867	53218923	ENSG00000162384.13_2	ENSG00000162384	2	7	FALSE	16
chr1_53883113_53883276_-	chr1	53883113	53883276	ENSG00000058799.14_5	ENSG00000058799	5	14	FALSE	15
chr1_53928372_53929000_-	chr1	53928372	53929000	ENSG00000081870.11_4	ENSG00000081870	4	7	FALSE	11
chr1_53958149_53958280_+	chr1	53958149	53958280	ENSG00000116212.14_5	ENSG00000116212	5	9	FALSE	11
chr1_54045486_54045786_-	chr1	54045486	54045786	ENSG00000116209.11_4	ENSG00000116209	4	9	FALSE	17
chr1_54212501_54212658_+	chr1	54212501	54212658	ENSG00000116221.15_8	ENSG00000116221	8	12	FALSE	16
chr1_54228748_54228826_-	chr1	54228748	54228826	ENSG00000157216.15_23	ENSG00000157216	23	26	FALSE	14
chr1_54733629_54733710_+	chr1	54733629	54733710	ENSG00000243725.6_8	ENSG00000243725	8	10	FALSE	16
chr1_56523823_56523880_-	chr1	56523823	56523880	ENSG00000162407.8_6	ENSG00000162407	6	9	FALSE	10
chr1_58480719_58481174_-	chr1	58480719	58481174	ENSG00000162600.11_10	ENSG00000162600	10	14	FALSE	13
chr1_59674039_59674133_+	chr1	59674039	59674133	ENSG00000172456.17_25	ENSG00000172456	25	37	FALSE	12
chr1_61694697_61694770_-	chr1	61694697	61694770	ENSG00000162604.12_8	ENSG00000162604	8	11	FALSE	16
chr1_63478764_63478833_-	chr1	63478764	63478833	ENSG00000142856.16_7	ENSG00000142856	7	17	FALSE	15
chr1_65429862_65430303_+	chr1	65429862	65430303	ENSG00000213625.8_4	ENSG00000213625	4	5	FALSE	10
chr1_66971655_66971736_+	chr1	66971655	66971736	ENSG00000198160.14_14	ENSG00000198160	14	18	FALSE	11
chr1_74719209_74719372_-	chr1	74719209	74719372	ENSG00000116791.13_6	ENSG00000116791	6	10	FALSE	13
chr1_75733528_75733628_+	chr1	75733528	75733628	ENSG00000117054.13_6	ENSG00000117054	6	17	FALSE	11
chr1_75789549_75790517_+	chr1	75789549	75790517	ENSG00000137955.15_5	ENSG00000137955	5	10	FALSE	11
chr1_77715742_77715868_-	chr1	77715742	77715868	ENSG00000077254.14_21	ENSG00000077254	21	27	FALSE	16
chr1_77926414_77926611_+	chr1	77926414	77926611	ENSG00000162614.18_6	ENSG00000162614	6	13	FALSE	10
chr1_84506011_84506299_-	chr1	84506011	84506299	ENSG00000174021.10_2	ENSG00000174021	2	5	FALSE	15
chr1_86715724_86715865_+	chr1	86715724	86715865	ENSG00000097033.14_2	ENSG00000097033	2	11	FALSE	15
chr1_86868053_86868102_-	chr1	86868053	86868102	ENSG00000183291.15_5	ENSG00000183291	5	6	FALSE	17
chr1_88961167_88961287_-	chr1	88961167	88961287	ENSG00000137944.17_8	ENSG00000137944	8	14	FALSE	14
chr1_89108000_89108291_-	chr1	89108000	89108291	ENSG00000162645.12_11	ENSG00000162645	11	12	FALSE	11
chr1_92833389_92833458_+	chr1	92833389	92833458	ENSG00000122406.12_2	ENSG00000122406	2	9	FALSE	17
chr1_93324635_93324729_-	chr1	93324635	93324729	ENSG00000223745.7_9	ENSG00000223745	9	20	FALSE	12
chr1_93875645_93875783_-	chr1	93875645	93875783	ENSG00000067334.13_3	ENSG00000067334	3	7	FALSE	16
chr1_94532321_94532480_-	chr1	94532321	94532480	ENSG00000117525.13_6	ENSG00000117525	6	7	FALSE	14
chr1_94892281_94892517_+	chr1	94892281	94892517	ENSG00000143036.16_18	ENSG00000143036	18	19	FALSE	11
chr1_94931872_94931985_+	chr1	94931872	94931985	ENSG00000235501.5_3	ENSG00000235501	3	5	FALSE	11
chr1_99999261_99999415_+	chr1	99999261	99999415	ENSG00000117620.14_6	ENSG00000117620	6	12	FALSE	10
chr1_100068473_100068586_+	chr1	100068473	100068586	ENSG00000156875.13_7	ENSG00000156875	7	12	FALSE	10
chr1_100274824_100274965_+	chr1	100274824	100274965	ENSG00000137996.12_8	ENSG00000137996	8	13	FALSE	10
chr1_103575441_103575781_+	chr1	103575441	103575781	ENSG00000240038.6_10	ENSG00000240038	10	12	FALSE	14
chr1_108807401_108807549_+	chr1	108807401	108807549	ENSG00000116266.10_18	ENSG00000116266	18	19	FALSE	14
chr1_109074987_109075065_-	chr1	109074987	109075065	ENSG00000197780.9_2	ENSG00000197780	2	5	FALSE	15
chr1_109092890_109093776_+	chr1	109092890	109093776	ENSG00000215717.5_3	ENSG00000215717	3	4	FALSE	10
chr1_109231158_109231786_+	chr1	109231158	109231786	ENSG00000031698.12_7	ENSG00000031698	7	11	FALSE	15
chr1_109421860_109421926_-	chr1	109421860	109421926	ENSG00000143106.12_3	ENSG00000143106	3	10	FALSE	15
chr1_109629796_109629916_+	chr1	109629796	109629916	ENSG00000116337.15_20	ENSG00000116337	20	24	FALSE	15
chr1_109712618_109715042_+	chr1	109712618	109715042	ENSG00000134201.10_2	ENSG00000134201	2	4	FALSE	14
chr1_110020731_110020851_+	chr1	110020731	110020851	ENSG00000168710.17_16	ENSG00000168710	16	17	FALSE	15
chr1_110894960_110895055_+	chr1	110894960	110895055	ENSG00000143119.12_6	ENSG00000143119	6	9	FALSE	11
chr1_111454211_111454356_+	chr1	111454211	111454356	ENSG00000116459.10_4	ENSG00000116459	4	8	FALSE	17
chr1_114749821_114750207_-	chr1	114749821	114750207	ENSG00000009307.15_4	ENSG00000009307	4	25	FALSE	17
chr1_116395110_116395285_+	chr1	116395110	116395285	ENSG00000163399.15_16	ENSG00000163399	16	28	FALSE	15
chr1_120168840_120168949_-	chr1	120168840	120168949	ENSG00000265808.3_2	ENSG00000265808	2	6	FALSE	17
chr1_120462794_120462966_+	chr1	120462794	120462966	ENSG00000270231.3_21	ENSG00000270231	21	25	FALSE	14
chr1_120505711_120505962_-	chr1	120505711	120505962	ENSG00000275131.2_32	ENSG00000275131	32	43	FALSE	13
chr1_144435111_144435316_-	chr1	144435111	144435316	ENSG00000266338.6_13	ENSG00000266338	13	23	FALSE	13
chr1_145751438_145751510_-	chr1	145751438	145751510	ENSG00000265491.4_6	ENSG00000265491	6	9	FALSE	14
chr1_145850771_145850939_-	chr1	145850771	145850939	ENSG00000131788.15_13	ENSG00000131788	13	16	FALSE	12
chr1_145917701_145917780_-	chr1	145917701	145917780	ENSG00000131779.10_3	ENSG00000131779	3	5	FALSE	11
chr1_145926041_145926177_-	chr1	145926041	145926177	ENSG00000265241.6_3	ENSG00000265241	3	6	FALSE	14
chr1_145937604_145937699_-	chr1	145937604	145937699	ENSG00000271601.3_4	ENSG00000271601	4	7	FALSE	14
chr1_145977983_145978096_+	chr1	145977983	145978096	ENSG00000121851.12_7	ENSG00000121851	7	8	FALSE	11
chr1_146152266_146156229_-	chr1	146152266	146156229	ENSG00000264343.5_7	ENSG00000264343	7	10	FALSE	10
chr1_146968448_146968550_+	chr1	146968448	146968550	ENSG00000268043.7_12	ENSG00000268043	12	36	FALSE	11
chr1_147167767_147167933_-	chr1	147167767	147167933	ENSG00000131791.7_3	ENSG00000131791	3	9	FALSE	10
chr1_147280026_147280191_+	chr1	147280026	147280191	ENSG00000131778.18_15	ENSG00000131778	15	23	FALSE	15
chr1_148108482_148108654_-	chr1	148108482	148108654	ENSG00000263956.6_20	ENSG00000263956	20	26	FALSE	13
chr1_148615691_148615950_-	chr1	148615691	148615950	ENSG00000270629.5_3	ENSG00000270629	3	77	FALSE	11
chr1_148961837_148961956_+	chr1	148961837	148961956	ENSG00000178104.19_17	ENSG00000178104	17	61	FALSE	15
chr1_149080053_149080155_-	chr1	149080053	149080155	ENSG00000269713.7_9	ENSG00000269713	9	31	FALSE	13
chr1_149240377_149240487_-	chr1	149240377	149240487	ENSG00000215861.5_4	ENSG00000215861	4	7	FALSE	10
chr1_149464077_149468030_+	chr1	149464077	149468030	ENSG00000271383.6_7	ENSG00000271383	7	100	FALSE	12
chr1_149931260_149931426_-	chr1	149931260	149931426	ENSG00000014914.20_13	ENSG00000014914	13	17	FALSE	10
chr1_150157372_150157486_+	chr1	150157372	150157486	ENSG00000023902.13_7	ENSG00000023902	7	10	FALSE	11
chr1_150229072_150229237_-	chr1	150229072	150229237	ENSG00000143401.14_5	ENSG00000143401	5	8	FALSE	13
chr1_150267716_150267789_-	chr1	150267716	150267789	ENSG00000117362.12_4	ENSG00000117362	4	7	FALSE	16
chr1_150274087_150274170_+	chr1	150274087	150274170	ENSG00000118292.8_4	ENSG00000118292	4	8	FALSE	13
chr1_150293920_150294449_+	chr1	150293920	150294449	ENSG00000266472.5_2	ENSG00000266472	2	3	FALSE	12
chr1_150338160_150338326_+	chr1	150338160	150338326	ENSG00000117360.12_10	ENSG00000117360	10	17	FALSE	13
chr1_150464527_150464727_+	chr1	150464527	150464727	ENSG00000163125.15_12	ENSG00000163125	12	13	FALSE	11
chr1_150578244_150578777_-	chr1	150578244	150578777	ENSG00000143384.12_2	ENSG00000143384	2	3	FALSE	15
chr1_150817920_150818030_-	chr1	150817920	150818030	ENSG00000143437.20_17	ENSG00000143437	17	24	FALSE	16
chr1_150962587_150962719_+	chr1	150962587	150962719	ENSG00000143379.12_19	ENSG00000143379	19	22	FALSE	10
chr1_151000457_151000615_-	chr1	151000457	151000615	ENSG00000143409.15_7	ENSG00000143409	7	12	FALSE	14
chr1_151055016_151055126_-	chr1	151055016	151055126	ENSG00000197622.12_5	ENSG00000197622	5	8	FALSE	15
chr1_151138316_151138406_-	chr1	151138316	151138406	ENSG00000143434.15_8	ENSG00000143434	8	19	FALSE	14
chr1_151167121_151167218_+	chr1	151167121	151167218	ENSG00000163156.11_3	ENSG00000163156	3	6	FALSE	15
chr1_151178001_151178145_-	chr1	151178001	151178145	ENSG00000163159.12_6	ENSG00000163159	6	7	FALSE	10
chr1_151242438_151242567_+	chr1	151242438	151242567	ENSG00000143398.19_19	ENSG00000143398	19	21	FALSE	15
chr1_151262161_151262301_+	chr1	151262161	151262301	ENSG00000159352.15_3	ENSG00000159352	3	13	FALSE	17
chr1_151288528_151288706_+	chr1	151288528	151288706	ENSG00000143373.17_5	ENSG00000143373	5	11	FALSE	15
chr1_151366275_151366453_-	chr1	151366275	151366453	ENSG00000143416.20_10	ENSG00000143416	10	15	FALSE	17
chr1_151400764_151400845_+	chr1	151400764	151400845	ENSG00000159377.10_4	ENSG00000159377	4	7	FALSE	17
chr1_151408409_151408581_-	chr1	151408409	151408581	ENSG00000143442.21_16	ENSG00000143442	16	21	FALSE	15
chr1_151761451_151761552_-	chr1	151761451	151761552	ENSG00000143436.10_5	ENSG00000143436	5	7	FALSE	17
chr1_153535202_153535375_-	chr1	153535202	153535375	ENSG00000197956.9_2	ENSG00000197956	2	3	FALSE	14
chr1_153764118_153764221_+	chr1	153764118	153764221	ENSG00000143624.13_20	ENSG00000143624	20	31	FALSE	15
chr1_153942187_153942356_-	chr1	153942187	153942356	ENSG00000198837.9_6	ENSG00000198837	6	29	FALSE	12
chr1_153952018_153952262_-	chr1	153952018	153952262	ENSG00000160741.16_12	ENSG00000160741	12	17	FALSE	12
chr1_154182988_154183249_-	chr1	154182988	154183249	ENSG00000143549.19_7	ENSG00000143549	7	16	FALSE	16
chr1_154214457_154214574_-	chr1	154214457	154214574	ENSG00000143612.19_3	ENSG00000143612	3	9	FALSE	17
