gene	n_exons
ENSG00000008294	38
ENSG00000008300	35
ENSG00000008311	26
ENSG00000008323	20
ENSG00000008324	4
ENSG00000008382	10
ENSG00000008394	17
ENSG00000008405	15
ENSG00000008438	3
ENSG00000008441	14
ENSG00000008513	15
ENSG00000008516	9
ENSG00000008517	7
ENSG00000008710	45
ENSG00000008735	12
ENSG00000008838	31
ENSG00000008853	16
ENSG00000008869	37
ENSG00000008952	11
ENSG00000008988	4
ENSG00000009307	25
ENSG00000009335	25
ENSG00000009413	33
ENSG00000009694	32
ENSG00000009709	9
ENSG00000009724	11
ENSG00000009765	7
ENSG00000009780	11
ENSG00000009790	16
ENSG00000009830	28
ENSG00000009844	8
ENSG00000009950	16
ENSG00000009954	19
ENSG00000010017	15
ENSG00000010030	9
ENSG00000010072	6
ENSG00000010165	9
ENSG00000010219	22
ENSG00000010244	14
ENSG00000010256	14
ENSG00000010270	13
ENSG00000010278	12
ENSG00000010282	13
ENSG00000010292	32
ENSG00000010295	13
ENSG00000010310	14
ENSG00000010318	12
ENSG00000010319	17
ENSG00000010322	26
ENSG00000010327	69
ENSG00000010361	14
ENSG00000010379	17
ENSG00000010404	16
ENSG00000010438	9
ENSG00000010539	6
ENSG00000010610	15
ENSG00000010626	9
ENSG00000010671	21
ENSG00000010704	7
ENSG00000010803	21
ENSG00000010810	28
ENSG00000010818	15
ENSG00000010932	11
ENSG00000011007	13
ENSG00000011009	9
ENSG00000011021	25
ENSG00000011028	26
ENSG00000011083	16
ENSG00000011105	12
ENSG00000011114	13
ENSG00000011132	12
ENSG00000011143	18
ENSG00000011198	13
ENSG00000011201	15
ENSG00000011243	17
ENSG00000011258	18
ENSG00000011260	16
ENSG00000011275	24
ENSG00000011295	13
ENSG00000011304	15
ENSG00000011332	17
ENSG00000011347	15
ENSG00000011376	25
ENSG00000011405	37
ENSG00000011422	11
ENSG00000011426	28
ENSG00000011451	14
ENSG00000011454	32
ENSG00000011465	15
ENSG00000011478	8
ENSG00000011485	16
ENSG00000011523	7
ENSG00000011566	37
ENSG00000011590	8
ENSG00000011600	5
ENSG00000011638	9
ENSG00000011677	13
ENSG00000012048	26
ENSG00000012061	17
ENSG00000012124	17
ENSG00000012171	19
ENSG00000012174	12
ENSG00000012211	10
ENSG00000012223	24
ENSG00000012232	18
ENSG00000012504	14
ENSG00000012660	13
ENSG00000012779	14
ENSG00000012817	28
ENSG00000012822	18
ENSG00000012963	11
ENSG00000012983	33
ENSG00000013016	6
ENSG00000013275	11
ENSG00000013288	18
ENSG00000013293	10
ENSG00000013297	15
ENSG00000013306	13
ENSG00000013364	21
ENSG00000013374	17
ENSG00000013375	17
ENSG00000013392	3
ENSG00000013441	14
ENSG00000013503	30
ENSG00000013523	14
ENSG00000013561	11
ENSG00000013563	8
ENSG00000013573	31
ENSG00000013583	6
ENSG00000013588	5
ENSG00000013619	11
ENSG00000013725	17
ENSG00000013810	19
ENSG00000014123	21
ENSG00000014138	19
ENSG00000014164	13
ENSG00000014216	26
ENSG00000014257	12
ENSG00000014641	13
ENSG00000014824	19
ENSG00000014914	17
ENSG00000014919	10
ENSG00000015133	34
ENSG00000015153	11
ENSG00000015171	20
ENSG00000015285	14
ENSG00000015413	13
ENSG00000015475	10
ENSG00000015479	4
ENSG00000015520	20
ENSG00000015532	11
ENSG00000015568	27
ENSG00000015592	8
ENSG00000015676	13
ENSG00000016082	7
ENSG00000016391	11
ENSG00000016402	10
ENSG00000016490	15
ENSG00000016602	14
ENSG00000016864	16
ENSG00000017260	34
ENSG00000017427	6
ENSG00000017483	20
ENSG00000017797	15
ENSG00000018189	23
ENSG00000018236	31
ENSG00000018280	17
ENSG00000018408	20
ENSG00000018510	21
ENSG00000018607	3
ENSG00000018610	7
ENSG00000018625	24
ENSG00000018699	23
ENSG00000018869	6
ENSG00000019102	7
ENSG00000019144	34
ENSG00000019169	18
ENSG00000019186	12
ENSG00000019485	12
ENSG00000019505	8
ENSG00000019549	4
ENSG00000019582	9
ENSG00000019991	21
ENSG00000019995	9
ENSG00000020129	11
ENSG00000020181	20
ENSG00000020219	1
ENSG00000020256	17
ENSG00000020426	9
ENSG00000020577	20
ENSG00000020633	8
ENSG00000020922	21
ENSG00000021300	14
ENSG00000021355	8
ENSG00000021461	16
ENSG00000021488	12
ENSG00000021574	17
ENSG00000021645	37
ENSG00000021762	26
ENSG00000021776	34
ENSG00000021826	42
ENSG00000021852	14
ENSG00000022267	22
ENSG00000022277	12
ENSG00000022355	18
ENSG00000022556	21
ENSG00000022567	10
ENSG00000022840	23
ENSG00000022976	11
ENSG00000023041	15
ENSG00000023171	32
ENSG00000023191	15
ENSG00000023228	22
ENSG00000023287	26
ENSG00000023318	12
ENSG00000023330	12
ENSG00000023445	12
ENSG00000023516	13
ENSG00000023572	5
ENSG00000023608	10
ENSG00000023697	14
ENSG00000023734	11
ENSG00000023839	32
ENSG00000023892	11
ENSG00000023902	10
ENSG00000023909	8
ENSG00000024048	49
ENSG00000024422	8
ENSG00000024526	12
ENSG00000024862	7
ENSG00000025039	8
ENSG00000025156	13
ENSG00000025293	28
ENSG00000025423	9
ENSG00000025434	14
ENSG00000025708	10
ENSG00000025770	20
ENSG00000025772	7
ENSG00000025796	23
ENSG00000025800	16
ENSG00000026025	8
ENSG00000026103	14
ENSG00000026297	19
ENSG00000026508	20
ENSG00000026559	7
ENSG00000026652	11
ENSG00000026751	8
ENSG00000026950	11
ENSG00000027001	22
ENSG00000027075	36
ENSG00000027644	22
ENSG00000027697	8
ENSG00000027847	8
ENSG00000027869	9
ENSG00000028116	23
ENSG00000028137	10
ENSG00000028203	23
ENSG00000028277	21
ENSG00000028310	22
ENSG00000028528	19
ENSG00000028839	10
ENSG00000029153	18
ENSG00000029363	16
ENSG00000029364	9
ENSG00000029534	46
ENSG00000029559	7
ENSG00000029639	11
ENSG00000029725	20
ENSG00000029993	7
ENSG00000030066	35
ENSG00000030110	7
ENSG00000030304	18
ENSG00000030419	15
ENSG00000030582	14
ENSG00000031003	29
ENSG00000031081	13
ENSG00000031691	9
ENSG00000031698	11
ENSG00000031823	24
ENSG00000032219	26
ENSG00000032389	19
ENSG00000032444	39
ENSG00000032742	28
ENSG00000033011	13
ENSG00000033030	14
ENSG00000033050	18
ENSG00000033100	6
ENSG00000033122	37
ENSG00000033170	21
ENSG00000033178	33
ENSG00000033327	15
ENSG00000033627	28
ENSG00000033800	21
ENSG00000033867	31
ENSG00000034053	22
ENSG00000034152	16
ENSG00000034239	11
ENSG00000034510	3
ENSG00000034533	10
ENSG00000034677	16
ENSG00000034693	12
ENSG00000034713	5
ENSG00000034971	4
ENSG00000035115	25
ENSG00000035141	5
ENSG00000035403	26
ENSG00000035499	14
ENSG00000035664	18
ENSG00000035681	36
ENSG00000035687	15
ENSG00000035720	10
ENSG00000035862	7
ENSG00000035928	33
ENSG00000036054	20
ENSG00000036257	23
ENSG00000036448	46
ENSG00000036473	10
ENSG00000036530	18
ENSG00000036549	17
ENSG00000036565	19
ENSG00000036672	16
ENSG00000036828	8
ENSG00000037042	11
ENSG00000037241	7
ENSG00000037280	30
ENSG00000037474	20
ENSG00000037637	11
ENSG00000037749	10
ENSG00000037757	11
ENSG00000037897	10
ENSG00000037965	2
ENSG00000038002	9
ENSG00000038210	10
ENSG00000038219	28
ENSG00000038274	6
ENSG00000038295	25
ENSG00000038358	29
ENSG00000038382	63
ENSG00000038427	18
ENSG00000038532	31
ENSG00000038945	27
ENSG00000039068	21
ENSG00000039123	29
ENSG00000039139	79
ENSG00000039319	24
ENSG00000039523	30
ENSG00000039537	24
ENSG00000039560	32
ENSG00000039600	7
ENSG00000039650	20
ENSG00000039987	10
ENSG00000040199	20
ENSG00000040275	18
ENSG00000040341	25
ENSG00000040487	9
ENSG00000040531	13
ENSG00000040608	8
ENSG00000040633	11
ENSG00000040731	13
ENSG00000040933	31
ENSG00000041353	9
ENSG00000041357	12
ENSG00000041515	39
ENSG00000041802	16
ENSG00000041880	12
ENSG00000041982	33
ENSG00000041988	7
ENSG00000042062	23
ENSG00000042088	25
ENSG00000042286	11
ENSG00000042304	4
ENSG00000042317	21
ENSG00000042429	14
ENSG00000042445	11
ENSG00000042493	17
ENSG00000042753	6
ENSG00000042781	71
ENSG00000042813	15
ENSG00000042832	53
ENSG00000042980	28
ENSG00000043039	4
ENSG00000043093	11
ENSG00000043143	17
ENSG00000043355	5
ENSG00000043462	20
ENSG00000043514	12
ENSG00000043591	1
ENSG00000044012	3
ENSG00000044090	26
ENSG00000044115	34
ENSG00000044446	36
ENSG00000044459	28
ENSG00000044524	17
ENSG00000044574	8
ENSG00000046604	16
ENSG00000046647	8
ENSG00000046651	25
ENSG00000046653	15
ENSG00000046774	3
ENSG00000046889	43
ENSG00000047056	18
ENSG00000047188	31
ENSG00000047230	22
ENSG00000047249	17
ENSG00000047315	26
ENSG00000047346	18
ENSG00000047365	48
ENSG00000047410	55
ENSG00000047457	21
ENSG00000047578	30
ENSG00000047579	13
ENSG00000047597	3
ENSG00000047617	40
ENSG00000047621	16
ENSG00000047634	9
ENSG00000047644	24
ENSG00000047648	16
ENSG00000047662	16
ENSG00000047849	25
ENSG00000047932	9
ENSG00000047936	45
ENSG00000048028	30
ENSG00000048052	42
ENSG00000048140	7
ENSG00000048162	6
ENSG00000048342	43
ENSG00000048392	11
ENSG00000048405	8
ENSG00000048462	4
ENSG00000048471	26
ENSG00000048540	18
ENSG00000048544	7
ENSG00000048545	7
ENSG00000048649	17
ENSG00000048707	76
ENSG00000048740	20
ENSG00000048828	18
ENSG00000048991	32
ENSG00000049089	35
ENSG00000049130	13
ENSG00000049167	17
ENSG00000049192	29
ENSG00000049239	6
ENSG00000049245	6
ENSG00000049246	23
ENSG00000049247	6
ENSG00000049249	11
ENSG00000049283	13
ENSG00000049323	37
ENSG00000049449	13
ENSG00000049540	36
ENSG00000049541	13
ENSG00000049618	33
ENSG00000049656	20
ENSG00000049759	52
ENSG00000049768	11
ENSG00000049769	5
ENSG00000049860	17
ENSG00000049883	12
ENSG00000050030	4
ENSG00000050130	9
ENSG00000050165	14
ENSG00000050327	15
ENSG00000050344	4
ENSG00000050393	10
ENSG00000050405	16
ENSG00000050426	10
ENSG00000050438	33
ENSG00000050555	29
ENSG00000050628	13
ENSG00000050730	17
ENSG00000050748	18
ENSG00000050767	32
ENSG00000050820	18
ENSG00000051009	12
ENSG00000051108	9
ENSG00000051128	13
ENSG00000051180	13
ENSG00000051341	32
ENSG00000051382	25
ENSG00000051523	9
ENSG00000051596	11
ENSG00000051620	6
ENSG00000051825	27
ENSG00000052126	40
ENSG00000052344	7
ENSG00000052723	6
ENSG00000052749	41
ENSG00000052795	22
ENSG00000052802	6
ENSG00000052841	29
ENSG00000052850	4
ENSG00000053108	21
ENSG00000053254	24
ENSG00000053328	5
ENSG00000053371	7
ENSG00000053372	8
ENSG00000053438	3
ENSG00000053501	7
ENSG00000053524	31
ENSG00000053702	6
ENSG00000053747	80
ENSG00000053770	11
ENSG00000053900	28
ENSG00000053918	20
ENSG00000054116	6
ENSG00000054118	15
ENSG00000054148	3
ENSG00000054179	9
ENSG00000054219	36
ENSG00000054267	27
ENSG00000054277	9
ENSG00000054282	23
ENSG00000054356	25
ENSG00000054392	16
ENSG00000054523	55
ENSG00000054598	1
ENSG00000054611	21
ENSG00000054654	130
ENSG00000054690	30
ENSG00000054793	29
ENSG00000054796	14
ENSG00000054803	3
ENSG00000054938	14
ENSG00000054965	13
ENSG00000054967	15
ENSG00000054983	26
ENSG00000055044	18
ENSG00000055070	12
ENSG00000055118	16
ENSG00000055130	23
ENSG00000055147	17
ENSG00000055163	38
ENSG00000055208	13
ENSG00000055211	10
ENSG00000055332	16
ENSG00000055483	27
ENSG00000055609	60
ENSG00000055732	14
ENSG00000055813	6
ENSG00000055917	26
ENSG00000055950	10
ENSG00000055955	25
ENSG00000055957	24
ENSG00000056050	8
ENSG00000056097	21
ENSG00000056277	19
ENSG00000056291	7
ENSG00000056487	21
ENSG00000056558	10
ENSG00000056586	22
ENSG00000056736	10
ENSG00000056972	11
ENSG00000056998	13
ENSG00000057019	19
ENSG00000057149	9
ENSG00000057252	17
ENSG00000057294	15
ENSG00000057468	20
ENSG00000057593	10
ENSG00000057608	14
ENSG00000057657	10
ENSG00000057663	12
ENSG00000057704	9
ENSG00000057757	6
ENSG00000057935	25
ENSG00000058056	22
ENSG00000058063	34
ENSG00000058085	22
ENSG00000058091	22
ENSG00000058262	14
ENSG00000058272	30
ENSG00000058335	30
ENSG00000058404	33
ENSG00000058453	40
ENSG00000058600	24
ENSG00000058668	23
ENSG00000058673	5
ENSG00000058729	12
ENSG00000058799	14
ENSG00000058804	18
ENSG00000058866	25
ENSG00000059122	19
ENSG00000059145	20
ENSG00000059377	26
ENSG00000059378	14
ENSG00000059573	19
ENSG00000059588	33
ENSG00000059691	16
ENSG00000059728	7
ENSG00000059758	21
ENSG00000059769	5
ENSG00000059804	10
ENSG00000059915	20
ENSG00000060069	18
ENSG00000060138	18
ENSG00000060140	14
ENSG00000060237	33
ENSG00000060303	1
ENSG00000060339	27
ENSG00000060491	6
ENSG00000060558	8
ENSG00000060566	10
ENSG00000060642	7
ENSG00000060656	33
ENSG00000060688	11
ENSG00000060709	21
ENSG00000060718	72
ENSG00000060749	16
ENSG00000060762	8
ENSG00000060971	14
ENSG00000060982	17
ENSG00000061273	33
ENSG00000061337	4
ENSG00000061455	11
ENSG00000061492	6
ENSG00000061656	13
ENSG00000061676	33
ENSG00000061794	9
ENSG00000061918	17
ENSG00000061936	20
ENSG00000061938	29
ENSG00000061987	38
ENSG00000062038	19
ENSG00000062096	12
ENSG00000062194	14
ENSG00000062282	13
ENSG00000062370	6
ENSG00000062485	16
ENSG00000062524	20
ENSG00000062582	3
ENSG00000062598	26
ENSG00000062650	19
ENSG00000062716	17
ENSG00000062725	15
ENSG00000062822	30
ENSG00000063015	18
ENSG00000063046	16
ENSG00000063127	12
ENSG00000063169	15
ENSG00000063176	6
ENSG00000063177	7
ENSG00000063180	10
ENSG00000063241	8
ENSG00000063244	14
ENSG00000063245	18
ENSG00000063322	5
ENSG00000063438	17
ENSG00000063515	3
ENSG00000063587	6
ENSG00000063601	22
ENSG00000063660	13
ENSG00000063761	15
ENSG00000063854	11
ENSG00000063978	16
ENSG00000064012	18
ENSG00000064042	46
ENSG00000064102	18
ENSG00000064115	15
ENSG00000064195	3
ENSG00000064199	7
ENSG00000064201	15
ENSG00000064205	4
ENSG00000064218	2
ENSG00000064225	22
ENSG00000064270	26
ENSG00000064300	5
ENSG00000064309	25
ENSG00000064313	29
ENSG00000064393	15
ENSG00000064419	24
ENSG00000064490	11
ENSG00000064545	12
ENSG00000064547	4
ENSG00000064601	13
ENSG00000064607	14
ENSG00000064651	28
ENSG00000064652	17
ENSG00000064655	20
ENSG00000064666	10
ENSG00000064687	49
ENSG00000064692	21
ENSG00000064703	7
ENSG00000064726	9
ENSG00000064763	15
ENSG00000064787	16
ENSG00000064835	6
ENSG00000064886	15
ENSG00000064932	36
ENSG00000064933	18
ENSG00000064961	10
ENSG00000064989	19
ENSG00000064995	5
ENSG00000064999	25
ENSG00000065000	34
ENSG00000065029	13
ENSG00000065054	11
ENSG00000065057	8
ENSG00000065060	24
ENSG00000065135	21
ENSG00000065150	38
ENSG00000065154	14
ENSG00000065183	30
ENSG00000065243	22
ENSG00000065268	11
ENSG00000065308	9
ENSG00000065320	8
ENSG00000065325	16
ENSG00000065328	19
ENSG00000065357	34
ENSG00000065361	28
ENSG00000065371	8
ENSG00000065413	32
ENSG00000065427	16
ENSG00000065457	15
ENSG00000065485	18
ENSG00000065491	13
ENSG00000065518	2
ENSG00000065526	17
ENSG00000065534	37
ENSG00000065548	14
ENSG00000065559	14
ENSG00000065600	12
ENSG00000065609	37
ENSG00000065613	19
ENSG00000065615	19
ENSG00000065618	56
ENSG00000065621	12
ENSG00000065665	17
ENSG00000065675	19
ENSG00000065717	26
ENSG00000065802	7
ENSG00000065809	21
ENSG00000065833	14
ENSG00000065882	31
ENSG00000065883	15
ENSG00000065911	9
ENSG00000065923	17
ENSG00000065970	12
ENSG00000065978	8
ENSG00000065989	20
ENSG00000066027	18
ENSG00000066032	41
ENSG00000066044	10
ENSG00000066056	22
ENSG00000066084	38
ENSG00000066117	15
ENSG00000066135	25
ENSG00000066136	23
ENSG00000066185	8
ENSG00000066230	13
ENSG00000066248	20
ENSG00000066279	28
ENSG00000066294	8
ENSG00000066322	11
ENSG00000066336	5
ENSG00000066379	4
ENSG00000066382	14
ENSG00000066405	6
ENSG00000066422	9
ENSG00000066427	20
ENSG00000066455	13
ENSG00000066468	31
ENSG00000066557	15
ENSG00000066583	5
ENSG00000066629	32
ENSG00000066651	17
ENSG00000066654	9
ENSG00000066697	6
ENSG00000066735	15
ENSG00000066739	46
ENSG00000066777	42
ENSG00000066813	19
ENSG00000066827	23
ENSG00000066855	15
ENSG00000066923	30
ENSG00000066926	13
ENSG00000066933	49
ENSG00000067048	16
ENSG00000067057	29
ENSG00000067064	4
ENSG00000067066	33
ENSG00000067082	4
ENSG00000067113	6
ENSG00000067141	32
ENSG00000067167	13
ENSG00000067177	33
ENSG00000067182	9
ENSG00000067191	20
ENSG00000067208	23
ENSG00000067221	10
ENSG00000067225	17
ENSG00000067248	27
ENSG00000067334	7
ENSG00000067365	17
ENSG00000067369	32
ENSG00000067445	17
ENSG00000067533	5
ENSG00000067560	8
ENSG00000067596	27
ENSG00000067601	6
ENSG00000067606	33
ENSG00000067646	10
ENSG00000067704	25
ENSG00000067715	21
ENSG00000067798	46
ENSG00000067829	13
ENSG00000067836	12
ENSG00000067840	12
ENSG00000067842	24
ENSG00000067900	34
ENSG00000067955	8
ENSG00000067992	12
ENSG00000068001	4
ENSG00000068024	33
ENSG00000068028	6
ENSG00000068078	19
ENSG00000068079	8
ENSG00000068097	22
ENSG00000068120	10
ENSG00000068137	15
ENSG00000068305	17
ENSG00000068308	10
ENSG00000068323	11
ENSG00000068354	5
ENSG00000068366	20
ENSG00000068383	17
ENSG00000068394	11
ENSG00000068400	29
ENSG00000068438	12
ENSG00000068489	14
ENSG00000068615	12
ENSG00000068650	35
ENSG00000068654	36
ENSG00000068697	7
ENSG00000068724	28
ENSG00000068745	19
ENSG00000068781	2
ENSG00000068784	25
ENSG00000068796	24
ENSG00000068831	20
ENSG00000068878	49
ENSG00000068885	28
ENSG00000068903	21
ENSG00000068912	15
ENSG00000068971	18
ENSG00000068976	20
ENSG00000068985	6
ENSG00000069011	5
ENSG00000069018	12
ENSG00000069020	43
ENSG00000069122	25
ENSG00000069188	47
ENSG00000069206	24
ENSG00000069248	29
ENSG00000069275	7
ENSG00000069329	18
ENSG00000069345	8
ENSG00000069399	11
ENSG00000069424	27
ENSG00000069431	44
ENSG00000069482	7
ENSG00000069493	10
ENSG00000069509	5
ENSG00000069535	17
ENSG00000069667	23
ENSG00000069696	5
ENSG00000069702	27
ENSG00000069712	9
ENSG00000069764	5
ENSG00000069812	5
ENSG00000069849	13
ENSG00000069869	34
ENSG00000069943	14
ENSG00000069956	13
ENSG00000069966	18
ENSG00000069974	14
ENSG00000069998	9
ENSG00000070010	10
ENSG00000070018	23
ENSG00000070019	27
ENSG00000070031	4
ENSG00000070047	18
ENSG00000070061	39
ENSG00000070081	30
ENSG00000070087	7
ENSG00000070159	29
ENSG00000070182	35
ENSG00000070190	10
ENSG00000070193	5
ENSG00000070214	20
ENSG00000070269	25
ENSG00000070366	33
ENSG00000070367	23
ENSG00000070371	35
ENSG00000070388	3
ENSG00000070404	6
ENSG00000070413	13
ENSG00000070423	10
ENSG00000070444	13
ENSG00000070476	10
ENSG00000070495	7
ENSG00000070501	18
ENSG00000070526	12
ENSG00000070540	13
ENSG00000070601	18
ENSG00000070610	14
ENSG00000070614	23
ENSG00000070669	14
ENSG00000070718	11
ENSG00000070729	36
ENSG00000070731	7
ENSG00000070748	21
ENSG00000070756	17
ENSG00000070759	12
ENSG00000070761	7
ENSG00000070770	13
ENSG00000070778	22
ENSG00000070785	18
ENSG00000070808	20
ENSG00000070814	30
ENSG00000070831	10
ENSG00000070882	25
ENSG00000070886	17
ENSG00000070915	27
ENSG00000070950	15
ENSG00000070961	22
ENSG00000070985	25
ENSG00000071051	6
ENSG00000071054	35
ENSG00000071073	20
ENSG00000071082	5
ENSG00000071127	23
ENSG00000071189	32
ENSG00000071203	7
ENSG00000071205	24
ENSG00000071242	34
ENSG00000071243	12
ENSG00000071246	12
ENSG00000071282	9
ENSG00000071462	18
ENSG00000071537	21
ENSG00000071539	15
ENSG00000071553	10
ENSG00000071564	19
ENSG00000071575	4
ENSG00000071626	15
ENSG00000071655	10
ENSG00000071677	2
ENSG00000071794	28
ENSG00000071859	14
ENSG00000071889	10
ENSG00000071894	38
ENSG00000071909	39
ENSG00000071967	9
ENSG00000071991	14
ENSG00000071994	8
ENSG00000072041	15
ENSG00000072042	7
ENSG00000072062	12
ENSG00000072071	23
ENSG00000072080	9
ENSG00000072110	30
ENSG00000072121	42
ENSG00000072133	25
ENSG00000072134	25
ENSG00000072135	17
ENSG00000072163	19
ENSG00000072182	11
ENSG00000072195	53
ENSG00000072201	20
ENSG00000072210	16
ENSG00000072274	22
ENSG00000072310	21
ENSG00000072315	11
ENSG00000072364	24
ENSG00000072401	7
ENSG00000072415	17
ENSG00000072422	14
ENSG00000072501	26
ENSG00000072506	6
ENSG00000072518	25
ENSG00000072571	18
ENSG00000072609	27
ENSG00000072657	26
ENSG00000072682	26
ENSG00000072694	8
ENSG00000072736	18
ENSG00000072756	12
ENSG00000072778	20
ENSG00000072786	24
ENSG00000072803	19
ENSG00000072818	23
ENSG00000072832	19
ENSG00000072840	22
ENSG00000072849	9
ENSG00000072858	27
ENSG00000072864	20
ENSG00000072952	24
ENSG00000072954	6
ENSG00000072958	15
ENSG00000073008	9
ENSG00000073050	18
ENSG00000073060	17
ENSG00000073067	8
ENSG00000073111	18
ENSG00000073146	29
ENSG00000073150	4
ENSG00000073169	8
ENSG00000073282	17
ENSG00000073331	24
ENSG00000073350	33
ENSG00000073417	25
ENSG00000073464	13
ENSG00000073536	15
ENSG00000073578	18
ENSG00000073584	16
ENSG00000073598	2
ENSG00000073605	11
ENSG00000073614	31
ENSG00000073670	28
ENSG00000073711	17
ENSG00000073712	22
ENSG00000073734	28
ENSG00000073737	12
ENSG00000073754	8
ENSG00000073756	9
ENSG00000073792	20
ENSG00000073803	21
ENSG00000073849	23
ENSG00000073861	6
ENSG00000073905	1
ENSG00000073910	65
ENSG00000073921	26
ENSG00000073969	25
ENSG00000074047	16
ENSG00000074054	49
ENSG00000074071	3
ENSG00000074181	33
ENSG00000074201	15
ENSG00000074211	18
ENSG00000074219	16
ENSG00000074266	13
ENSG00000074276	35
ENSG00000074317	7
ENSG00000074319	16
ENSG00000074356	15
ENSG00000074370	23
ENSG00000074410	12
ENSG00000074416	14
ENSG00000074527	15
ENSG00000074582	9
ENSG00000074590	7
ENSG00000074603	24
ENSG00000074621	15
ENSG00000074657	22
ENSG00000074660	12
ENSG00000074695	14
ENSG00000074696	18
ENSG00000074706	16
